entry_timestamp_utc,exit_timestamp_utc,instrument,timeframe,side,stake,p_side_model,edge,entry_price,exit_price,result,pnl,equity_after
2026-05-08T01:15:00+00:00,2026-05-08T01:20:00+00:00,SOLUSDT,5m,UP,0.028316,0.5142,0.3037,88.14,88.09,LOSS,-0.028316,99.971684
2026-05-08T01:25:00+00:00,2026-05-08T01:30:00+00:00,SOLUSDT,5m,UP,0.726005,0.5482,0.2324,88.2,88.26,WIN,0.689705,100.661389
2026-05-08T01:30:00+00:00,2026-05-08T01:35:00+00:00,SOLUSDT,5m,UP,1.080203,0.5651,0.144,88.26,88.21,LOSS,-1.080203,99.581186
2026-05-08T02:10:00+00:00,2026-05-08T02:15:00+00:00,SOLUSDT,5m,UP,0.20194,0.5227,0.4247,87.94,87.66,LOSS,-0.20194,99.379246
2026-05-08T02:20:00+00:00,2026-05-08T02:25:00+00:00,SOLUSDT,5m,UP,0.087297,0.5171,0.2515,87.83,87.9,WIN,0.082932,99.462178
2026-05-08T02:25:00+00:00,2026-05-08T02:30:00+00:00,SOLUSDT,5m,UP,1.538942,0.5882,0.2132,87.9,88.23,WIN,1.461995,100.924173
2026-05-08T07:25:00+00:00,2026-05-08T07:30:00+00:00,SOLUSDT,5m,UP,0.088654,0.5171,0.3995,87.81,87.88,WIN,0.084221,101.008394
2026-05-08T07:30:00+00:00,2026-05-08T07:35:00+00:00,SOLUSDT,5m,UP,0.913913,0.5569,0.2614,87.88,87.96,WIN,0.868218,101.876611
2026-05-08T07:35:00+00:00,2026-05-08T07:40:00+00:00,SOLUSDT,5m,UP,1.099517,0.5654,0.0881,87.96,88.05,WIN,1.044541,102.921152
2026-05-08T10:15:00+00:00,2026-05-08T10:20:00+00:00,SOLUSDT,5m,UP,0.684046,0.5452,0.104,88.45,88.48,WIN,0.649844,103.570996
2026-05-08T13:15:00+00:00,2026-05-08T13:20:00+00:00,SOLUSDT,5m,UP,0.269557,0.5255,0.2811,88.39,88.5,WIN,0.256079,103.827076
2026-05-08T13:20:00+00:00,2026-05-08T13:25:00+00:00,SOLUSDT,5m,UP,1.713037,0.5932,0.1043,88.5,88.29,LOSS,-1.713037,102.114038
2026-05-08T13:30:00+00:00,2026-05-08T13:35:00+00:00,SOLUSDT,5m,UP,0.974222,0.5593,0.0704,88.5,88.14,LOSS,-0.974222,101.139817
2026-05-08T13:45:00+00:00,2026-05-08T13:50:00+00:00,SOLUSDT,5m,UP,1.672853,0.5934,0.3031,88.29,88.28,LOSS,-1.672853,99.466964
