ts,symbol,side,qty,price,usd_amount,realized_pnl,reason
2026-01-01T00:50:00+00:00,BTC,BUY,649.96896398,0.62,400.0,0.0,SIGNAL_BUY
2026-01-01T00:55:00+00:00,BTC,SELL,649.96896398,0.61,398.74,-1.2622,SIGNAL_SELL
2026-01-01T01:05:00+00:00,BTC,BUY,652.47445863,0.61,399.5,0.0,SIGNAL_BUY
2026-01-01T01:10:00+00:00,BTC,SELL,652.47445863,0.61,397.96,-1.5372,SIGNAL_SELL
2026-01-01T01:25:00+00:00,BTC,BUY,656.45030574,0.61,398.88,0.0,SIGNAL_BUY
2026-01-01T01:30:00+00:00,BTC,BUY,393.38980184,0.61,239.33,0.0,SIGNAL_BUY
2026-01-01T01:40:00+00:00,BTC,SELL,1049.84010759,0.61,636.01,-2.2005,SIGNAL_SELL
2026-01-01T01:55:00+00:00,BTC,BUY,662.06439384,0.6,398.0,0.0,SIGNAL_BUY
2026-01-01T02:00:00+00:00,BTC,SELL,662.06439384,0.6,397.49,-0.5118,SIGNAL_SELL
2026-01-01T02:10:00+00:00,BTC,BUY,662.02891468,0.6,397.8,0.0,SIGNAL_BUY
2026-01-01T02:15:00+00:00,BTC,SELL,662.02891468,0.6,395.79,-2.0059,STOP_LOSS
