ts,symbol,side,qty,price,usd_amount,realized_pnl,reason
2026-01-01T01:05:00+00:00,BTC,BUY,244.98715451,0.61,150.0,0.0,SIGNAL_BUY
2026-01-01T01:10:00+00:00,BTC,SELL,244.98715451,0.61,149.42,-0.5772,SIGNAL_SELL
2026-01-01T01:25:00+00:00,BTC,BUY,246.71745652,0.61,149.91,0.0,SIGNAL_BUY
2026-01-01T01:40:00+00:00,BTC,SELL,246.71745652,0.61,149.46,-0.4485,SIGNAL_SELL
2026-01-01T02:10:00+00:00,BTC,BUY,249.38072053,0.6,149.85,0.0,SIGNAL_BUY
2026-01-01T02:15:00+00:00,BTC,SELL,249.38072053,0.6,149.09,-0.7556,SIGNAL_SELL
2026-01-01T02:20:00+00:00,BTC,BUY,249.29830183,0.6,149.73,0.0,SIGNAL_BUY
2026-01-01T02:30:00+00:00,BTC,BUY,211.16313535,0.6,127.27,0.0,SIGNAL_BUY
2026-01-01T02:35:00+00:00,BTC,BUY,178.73779922,0.61,108.18,0.0,SIGNAL_BUY
2026-01-01T02:40:00+00:00,BTC,SELL,639.1992364,0.6,385.73,0.5378,SIGNAL_SELL
