ts,symbol,side,qty,price,usd_amount,realized_pnl,reason
2026-01-01T01:05:00+00:00,BTC,BUY,408.31192418,0.61,250.0,0.0,SIGNAL_BUY
2026-01-01T01:10:00+00:00,BTC,SELL,408.31192418,0.61,249.04,-0.962,SIGNAL_SELL
2026-01-01T01:25:00+00:00,BTC,BUY,411.03744417,0.61,249.76,0.0,SIGNAL_BUY
2026-01-01T01:40:00+00:00,BTC,SELL,411.03744417,0.61,249.01,-0.7473,SIGNAL_SELL
2026-01-01T01:55:00+00:00,BTC,BUY,415.15875864,0.6,249.57,0.0,SIGNAL_BUY
2026-01-01T02:00:00+00:00,BTC,SELL,415.15875864,0.6,249.25,-0.3209,SIGNAL_SELL
2026-01-01T02:10:00+00:00,BTC,BUY,415.21662369,0.6,249.49,0.0,SIGNAL_BUY
2026-01-01T02:15:00+00:00,BTC,SELL,415.21662369,0.6,248.23,-1.2581,SIGNAL_SELL
2026-01-01T02:20:00+00:00,BTC,BUY,414.86992832,0.6,249.18,0.0,SIGNAL_BUY
2026-01-01T02:25:00+00:00,BTC,SELL,414.86992832,0.6,248.92,-0.2535,SIGNAL_SELL
