ts,balance,position_qty,avg_entry,position_value,unrealized_pnl,realized_pnl,total_equity,price
2026-01-01T00:00:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,0.35
2026-01-01T00:05:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,0.35
2026-01-01T00:10:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,0.36
2026-01-01T00:15:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,0.37
2026-01-01T00:20:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,0.36
2026-01-01T00:25:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,0.37
2026-01-01T00:30:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,0.37
2026-01-01T00:35:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,0.38
2026-01-01T00:40:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,0.39
2026-01-01T00:45:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,0.39
2026-01-01T00:50:00+00:00,600.0,1007.947667,0.396846,400.0,0.0,0.0,1000.0,0.4
2026-01-01T01:15:00+00:00,986.04,0.0,0,0.0,0.0,-13.961,986.04,0.37
2026-01-01T01:40:00+00:00,975.11,0.0,0,0.0,0.0,-24.8866,975.11,0.37
2026-01-01T02:05:00+00:00,972.61,0.0,0,0.0,0.0,-27.3932,972.61,0.35
2026-01-01T02:30:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.36
2026-01-01T02:55:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.36
2026-01-01T03:20:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.35
2026-01-01T03:45:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.35
2026-01-01T04:10:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.34
2026-01-01T04:35:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.33
2026-01-01T05:00:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.34
2026-01-01T05:25:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.33
2026-01-01T05:50:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.33
2026-01-01T06:15:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.33
2026-01-01T06:40:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.34
2026-01-01T07:05:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.35
2026-01-01T07:30:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.35
2026-01-01T07:55:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.33
2026-01-01T08:20:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.34
2026-01-01T08:45:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.36
2026-01-01T09:10:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.36
2026-01-01T09:35:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.35
2026-01-01T10:00:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.34
2026-01-01T10:25:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.35
2026-01-01T10:50:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.35
2026-01-01T11:15:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.35
2026-01-01T11:40:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.34
2026-01-01T12:05:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.31
2026-01-01T12:30:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.32
2026-01-01T12:55:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.32
2026-01-01T13:20:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.3
2026-01-01T13:45:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.29
2026-01-01T14:10:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.28
2026-01-01T14:35:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.31
2026-01-01T15:00:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.32
2026-01-01T15:25:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.32
2026-01-01T15:50:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.34
2026-01-01T16:15:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.35
2026-01-01T16:40:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.36
2026-01-01T17:05:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.37
2026-01-01T17:30:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.35
2026-01-01T17:55:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.36
2026-01-01T18:20:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.37
2026-01-01T18:45:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.35
2026-01-01T19:10:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.36
2026-01-01T19:35:00+00:00,962.8,0.0,0,0.0,0.0,-37.1993,962.8,0.34
