ts,symbol,side,qty,price,usd_amount,realized_pnl,reason
2026-01-01T00:50:00+00:00,BTC,BUY,1007.94766736,0.4,400.0,0.0,SIGNAL_BUY
2026-01-01T00:55:00+00:00,BTC,SELL,1007.94766736,0.39,393.69,-6.3118,SIGNAL_SELL
2026-01-01T01:05:00+00:00,BTC,BUY,1027.98435991,0.39,397.48,0.0,SIGNAL_BUY
2026-01-01T01:10:00+00:00,BTC,SELL,1027.98435991,0.38,389.83,-7.6492,SIGNAL_SELL
2026-01-01T01:25:00+00:00,BTC,BUY,1060.37100773,0.37,394.42,0.0,SIGNAL_BUY
2026-01-01T01:30:00+00:00,BTC,BUY,632.36172316,0.37,236.65,0.0,SIGNAL_BUY
2026-01-01T01:40:00+00:00,BTC,SELL,1692.73273089,0.37,620.14,-10.9256,SIGNAL_SELL
2026-01-01T01:55:00+00:00,BTC,BUY,1107.19330416,0.35,390.05,0.0,SIGNAL_BUY
2026-01-01T02:00:00+00:00,BTC,SELL,1107.19330416,0.35,387.54,-2.5067,SIGNAL_SELL
2026-01-01T02:10:00+00:00,BTC,BUY,1107.03073597,0.35,389.04,0.0,SIGNAL_BUY
2026-01-01T02:15:00+00:00,BTC,SELL,1107.03073597,0.34,379.24,-9.8061,STOP_LOSS
