ts,symbol,side,qty,price,usd_amount,realized_pnl,reason
2026-01-01T01:05:00+00:00,BTC,BUY,646.57123275,0.39,250.0,0.0,SIGNAL_BUY
2026-01-01T01:10:00+00:00,BTC,SELL,646.57123275,0.38,245.19,-4.8111,SIGNAL_SELL
2026-01-01T01:25:00+00:00,BTC,BUY,668.88164282,0.37,248.8,0.0,SIGNAL_BUY
2026-01-01T01:40:00+00:00,BTC,SELL,668.88164282,0.37,245.05,-3.7498,SIGNAL_SELL
2026-01-01T01:55:00+00:00,BTC,BUY,703.5814338,0.35,247.86,0.0,SIGNAL_BUY
2026-01-01T02:00:00+00:00,BTC,SELL,703.5814338,0.35,246.27,-1.5929,SIGNAL_SELL
2026-01-01T02:10:00+00:00,BTC,BUY,704.15802666,0.35,247.46,0.0,SIGNAL_BUY
2026-01-01T02:15:00+00:00,BTC,SELL,704.15802666,0.34,241.22,-6.2374,SIGNAL_SELL
2026-01-01T02:20:00+00:00,BTC,BUY,701.54141796,0.35,245.9,0.0,SIGNAL_BUY
2026-01-01T02:25:00+00:00,BTC,SELL,701.54141796,0.35,244.65,-1.2515,SIGNAL_SELL
