ts,symbol,side,qty,price,usd_amount,realized_pnl,reason
2026-01-01T01:05:00+00:00,BTC,BUY,13.33972217,18.74,250.0,0.0,SIGNAL_BUY
2026-01-01T01:10:00+00:00,BTC,SELL,13.33972217,18.6,248.08,-1.9244,SIGNAL_SELL
2026-01-01T01:25:00+00:00,BTC,BUY,13.51930824,18.46,249.52,0.0,SIGNAL_BUY
2026-01-01T01:40:00+00:00,BTC,SELL,13.51930824,18.35,248.02,-1.4955,SIGNAL_SELL
2026-01-01T01:55:00+00:00,BTC,BUY,13.79272028,18.06,249.15,0.0,SIGNAL_BUY
2026-01-01T02:00:00+00:00,BTC,SELL,13.79272028,18.02,248.5,-0.6405,SIGNAL_SELL
2026-01-01T02:10:00+00:00,BTC,BUY,13.79674002,18.05,248.98,0.0,SIGNAL_BUY
2026-01-01T02:15:00+00:00,BTC,SELL,13.79674002,17.86,246.47,-2.5105,SIGNAL_SELL
2026-01-01T02:20:00+00:00,BTC,BUY,13.77432795,18.03,248.36,0.0,SIGNAL_BUY
2026-01-01T02:25:00+00:00,BTC,SELL,13.77432795,17.99,247.85,-0.5057,SIGNAL_SELL
