ts,symbol,side,qty,price,usd_amount,realized_pnl,reason
2026-01-01T00:50:00+00:00,BTC,BUY,0.00579697,43125.99,250.0,0.0,SIGNAL_BUY
2026-01-01T00:55:00+00:00,BTC,SELL,0.00579697,43112.38,249.92,-0.0789,SIGNAL_SELL
2026-01-01T01:05:00+00:00,BTC,BUY,0.00579946,43104.05,249.98,0.0,SIGNAL_BUY
2026-01-01T01:10:00+00:00,BTC,SELL,0.00579946,43087.46,249.88,-0.0962,SIGNAL_SELL
2026-01-01T01:25:00+00:00,BTC,BUY,0.0058033,43071.36,249.96,0.0,SIGNAL_BUY
2026-01-01T01:30:00+00:00,BTC,BUY,0.00435195,43076.62,187.47,0.0,SIGNAL_BUY
2026-01-01T01:35:00+00:00,BTC,BUY,0.00326391,43077.32,140.6,0.0,SIGNAL_BUY
2026-01-01T01:40:00+00:00,BTC,SELL,0.01341916,43058.5,577.81,-0.2149,SIGNAL_SELL
2026-01-01T01:55:00+00:00,BTC,BUY,0.00580826,43025.33,249.9,0.0,SIGNAL_BUY
2026-01-01T02:05:00+00:00,BTC,SELL,0.00580826,43011.88,249.82,-0.0781,SIGNAL_SELL
