ts,balance,position_qty,avg_entry,position_value,unrealized_pnl,realized_pnl,total_equity,price
2026-01-01T00:00:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,43016.5
2026-01-01T00:05:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,43015.71
2026-01-01T00:10:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,43031.45
2026-01-01T00:15:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,43055.61
2026-01-01T00:20:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,43044.24
2026-01-01T00:25:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,43059.69
2026-01-01T00:30:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,43066.11
2026-01-01T00:35:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,43084.9
2026-01-01T00:40:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,43103.16
2026-01-01T00:45:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,43121.52
2026-01-01T00:50:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,43125.99
2026-01-01T01:15:00+00:00,999.81,0.0,0,0.0,0.0,-0.1924,999.81,43063.47
2026-01-01T01:40:00+00:00,999.66,0.0,0,0.0,0.0,-0.3417,999.66,43058.5
2026-01-01T02:05:00+00:00,999.59,0.0,0,0.0,0.0,-0.4059,999.59,43011.88
2026-01-01T02:30:00+00:00,249.84,0.01742,43026.662156,749.68,0.1754,-0.6579,999.52,43036.73
2026-01-01T02:55:00+00:00,249.84,0.01742,43026.662156,750.04,0.536,-0.6579,999.88,43057.43
2026-01-01T03:20:00+00:00,249.84,0.01742,43026.662156,749.61,0.0993,-0.6579,999.44,43032.36
2026-01-01T03:45:00+00:00,249.84,0.01742,43026.662156,749.38,-0.1251,-0.6579,999.22,43019.48
2026-01-01T04:10:00+00:00,249.84,0.01742,43026.662156,749.16,-0.347,-0.6579,999.0,43006.74
2026-01-01T04:35:00+00:00,249.84,0.01742,43026.662156,748.71,-0.7965,-0.6579,998.55,42980.94
2026-01-01T05:00:00+00:00,249.84,0.01742,43026.662156,748.93,-0.5716,-0.6579,998.77,42993.85
2026-01-01T05:25:00+00:00,249.84,0.01742,43026.662156,748.72,-0.7857,-0.6579,998.56,42981.56
2026-01-01T05:50:00+00:00,249.84,0.01742,43026.662156,748.41,-1.0973,-0.6579,998.24,42963.67
2026-01-01T06:15:00+00:00,249.84,0.01742,43026.662156,748.53,-0.9736,-0.6579,998.37,42970.77
2026-01-01T06:40:00+00:00,249.84,0.01742,43026.662156,748.9,-0.6038,-0.6579,998.74,42992.0
2026-01-01T07:05:00+00:00,249.84,0.01742,43026.662156,749.41,-0.0957,-0.6579,999.25,43021.17
2026-01-01T07:30:00+00:00,249.84,0.01742,43026.662156,749.32,-0.1821,-0.6579,999.16,43016.21
2026-01-01T07:55:00+00:00,249.84,0.01742,43026.662156,748.77,-0.7336,-0.6579,998.61,42984.55
2026-01-01T08:20:00+00:00,249.84,0.01742,43026.662156,749.21,-0.2918,-0.6579,999.05,43009.91
2026-01-01T08:45:00+00:00,249.84,0.01742,43026.662156,749.82,0.3163,-0.6579,999.66,43044.82
2026-01-01T09:10:00+00:00,249.84,0.01742,43026.662156,749.95,0.4449,-0.6579,999.79,43052.2
2026-01-01T09:35:00+00:00,249.84,0.01742,43026.662156,749.41,-0.0993,-0.6579,999.24,43020.96
2026-01-01T10:00:00+00:00,249.84,0.01742,43026.662156,749.03,-0.4801,-0.6579,998.86,42999.1
2026-01-01T10:25:00+00:00,249.84,0.01742,43026.662156,749.56,0.0573,-0.6579,999.4,43029.95
2026-01-01T10:50:00+00:00,249.84,0.01742,43026.662156,749.7,0.197,-0.6579,999.54,43037.97
2026-01-01T11:15:00+00:00,249.84,0.01742,43026.662156,749.46,-0.0506,-0.6579,999.29,43023.76
2026-01-01T11:40:00+00:00,249.84,0.01742,43026.662156,749.28,-0.2218,-0.6579,999.12,43013.93
2026-01-01T12:05:00+00:00,249.84,0.01742,43026.662156,748.02,-1.4828,-0.6579,997.86,42941.54
2026-01-01T12:30:00+00:00,249.84,0.01742,43026.662156,748.35,-1.1583,-0.6579,998.18,42960.17
2026-01-01T12:55:00+00:00,249.84,0.01742,43026.662156,748.25,-1.2596,-0.6579,998.08,42954.35
2026-01-01T13:20:00+00:00,249.84,0.01742,43026.662156,747.56,-1.9432,-0.6579,997.4,42915.11
2026-01-01T13:45:00+00:00,249.84,0.01742,43026.662156,746.8,-2.7036,-0.6579,996.64,42871.46
2026-01-01T14:10:00+00:00,249.84,0.01742,43026.662156,746.45,-3.061,-0.6579,996.28,42850.94
2026-01-01T14:35:00+00:00,249.84,0.01742,43026.662156,747.89,-1.6167,-0.6579,997.73,42933.85
2026-01-01T15:00:00+00:00,249.84,0.01742,43026.662156,748.23,-1.2718,-0.6579,998.07,42953.65
2026-01-01T15:25:00+00:00,249.84,0.01742,43026.662156,748.34,-1.1663,-0.6579,998.18,42959.71
2026-01-01T15:50:00+00:00,249.84,0.01742,43026.662156,749.27,-0.2383,-0.6579,999.1,43012.98
2026-01-01T16:15:00+00:00,249.84,0.01742,43026.662156,749.7,0.1951,-0.6579,999.54,43037.86
2026-01-01T16:40:00+00:00,249.84,0.01742,43026.662156,750.13,0.6194,-0.6579,999.96,43062.22
2026-01-01T17:05:00+00:00,249.84,0.01742,43026.662156,750.6,1.0964,-0.6579,1000.44,43089.6
2026-01-01T17:30:00+00:00,249.84,0.01742,43026.662156,749.92,0.4142,-0.6579,999.76,43050.44
2026-01-01T17:55:00+00:00,249.84,0.01742,43026.662156,750.05,0.5459,-0.6579,999.89,43058.0
2026-01-01T18:20:00+00:00,249.84,0.01742,43026.662156,750.68,1.1782,-0.6579,1000.52,43094.3
2026-01-01T18:45:00+00:00,249.84,0.01742,43026.662156,749.71,0.2027,-0.6579,999.54,43038.3
2026-01-01T19:10:00+00:00,249.84,0.01742,43026.662156,750.14,0.6304,-0.6579,999.97,43062.85
2026-01-01T19:35:00+00:00,249.84,0.01742,43026.662156,749.26,-0.2493,-0.6579,999.09,43012.35
