ts,symbol,side,qty,price,usd_amount,realized_pnl,reason
2026-01-01T01:05:00+00:00,BTC,BUY,0.01159984,43104.05,500.0,0.0,SIGNAL_BUY
2026-01-01T01:10:00+00:00,BTC,SELL,0.01159984,43087.46,499.81,-0.1924,SIGNAL_SELL
2026-01-01T01:25:00+00:00,BTC,BUY,0.01160641,43071.36,499.9,0.0,SIGNAL_BUY
2026-01-01T01:40:00+00:00,BTC,SELL,0.01160641,43058.5,499.75,-0.1493,SIGNAL_SELL
2026-01-01T01:55:00+00:00,BTC,BUY,0.01161709,43025.33,499.83,0.0,SIGNAL_BUY
2026-01-01T02:00:00+00:00,BTC,SELL,0.01161709,43019.8,499.76,-0.0642,SIGNAL_SELL
2026-01-01T02:10:00+00:00,BTC,BUY,0.01161687,43023.37,499.8,0.0,SIGNAL_BUY
2026-01-01T02:15:00+00:00,BTC,SELL,0.01161687,43001.68,499.55,-0.252,SIGNAL_SELL
2026-01-01T02:20:00+00:00,BTC,BUY,0.01161441,43021.63,499.67,0.0,SIGNAL_BUY
2026-01-01T02:30:00+00:00,BTC,BUY,0.00580517,43036.73,249.84,0.0,SIGNAL_BUY
