ts,symbol,side,qty,price,usd_amount,realized_pnl,reason
2026-01-01T01:05:00+00:00,BTC,BUY,0.00231997,43104.05,100.0,0.0,SIGNAL_BUY
2026-01-01T01:10:00+00:00,BTC,SELL,0.00231997,43087.46,99.96,-0.0385,SIGNAL_SELL
2026-01-01T01:25:00+00:00,BTC,BUY,0.00232164,43071.36,100.0,0.0,SIGNAL_BUY
2026-01-01T01:40:00+00:00,BTC,SELL,0.00232164,43058.5,99.97,-0.0299,SIGNAL_SELL
2026-01-01T01:55:00+00:00,BTC,BUY,0.00232405,43025.33,99.99,0.0,SIGNAL_BUY
2026-01-01T02:05:00+00:00,BTC,SELL,0.00232405,43011.88,99.96,-0.0313,SIGNAL_SELL
2026-01-01T02:10:00+00:00,BTC,BUY,0.00232409,43023.37,99.99,0.0,SIGNAL_BUY
2026-01-01T02:15:00+00:00,BTC,SELL,0.00232409,43001.68,99.94,-0.0504,SIGNAL_SELL
2026-01-01T02:20:00+00:00,BTC,BUY,0.00232406,43021.63,99.98,0.0,SIGNAL_BUY
2026-01-01T02:30:00+00:00,BTC,BUY,0.00209092,43036.73,89.99,0.0,SIGNAL_BUY
