ts,symbol,side,qty,price,usd_amount,realized_pnl,reason
2026-01-01T00:50:00+00:00,BTC,BUY,0.01159394,43125.99,500.0,0.0,SIGNAL_BUY
2026-01-01T00:55:00+00:00,BTC,SELL,0.01159394,43112.38,499.84,-0.1578,SIGNAL_SELL
2026-01-01T01:05:00+00:00,BTC,BUY,0.01159801,43104.05,499.92,0.0,SIGNAL_BUY
2026-01-01T01:10:00+00:00,BTC,SELL,0.01159801,43087.46,499.73,-0.1924,SIGNAL_SELL
2026-01-01T01:25:00+00:00,BTC,BUY,0.01160458,43071.36,499.82,0.0,SIGNAL_BUY
2026-01-01T01:30:00+00:00,BTC,BUY,0.00580158,43076.62,249.91,0.0,SIGNAL_BUY
2026-01-01T01:40:00+00:00,BTC,SELL,0.01740616,43058.5,749.48,-0.2544,SIGNAL_SELL
2026-01-01T01:55:00+00:00,BTC,BUY,0.01161404,43025.33,499.7,0.0,SIGNAL_BUY
2026-01-01T02:00:00+00:00,BTC,SELL,0.01161404,43019.8,499.63,-0.0642,SIGNAL_SELL
2026-01-01T02:10:00+00:00,BTC,BUY,0.01161382,43023.37,499.67,0.0,SIGNAL_BUY
