ts,symbol,side,qty,price,usd_amount,realized_pnl,reason
2026-01-01T00:50:00+00:00,BTC,BUY,2.56722892,155.81,400.0,0.0,SIGNAL_BUY
2026-01-01T00:55:00+00:00,BTC,SELL,2.56722892,155.07,398.11,-1.8935,SIGNAL_SELL
2026-01-01T01:05:00+00:00,BTC,BUY,2.58212708,154.62,399.24,0.0,SIGNAL_BUY
2026-01-01T01:10:00+00:00,BTC,SELL,2.58212708,153.73,396.94,-2.3049,SIGNAL_SELL
2026-01-01T01:25:00+00:00,BTC,BUY,2.60582926,152.86,398.32,0.0,SIGNAL_BUY
2026-01-01T01:30:00+00:00,BTC,BUY,1.56063871,153.14,238.99,0.0,SIGNAL_BUY
2026-01-01T01:40:00+00:00,BTC,SELL,4.16646798,152.17,634.02,-3.2971,SIGNAL_SELL
2026-01-01T01:55:00+00:00,BTC,BUY,2.63939205,150.41,397.0,0.0,SIGNAL_BUY
2026-01-01T02:00:00+00:00,BTC,SELL,2.63939205,150.12,396.24,-0.7654,SIGNAL_SELL
2026-01-01T02:10:00+00:00,BTC,BUY,2.63919315,150.31,396.7,0.0,SIGNAL_BUY
2026-01-01T02:15:00+00:00,BTC,SELL,2.63919315,149.17,393.7,-2.9999,STOP_LOSS
