ts,symbol,side,qty,price,usd_amount,realized_pnl,reason
2026-01-01T01:05:00+00:00,BTC,BUY,0.97013463,154.62,150.0,0.0,SIGNAL_BUY
2026-01-01T01:10:00+00:00,BTC,SELL,0.97013463,153.73,149.13,-0.866,SIGNAL_SELL
2026-01-01T01:25:00+00:00,BTC,BUY,0.98045614,152.86,149.87,0.0,SIGNAL_BUY
2026-01-01T01:40:00+00:00,BTC,SELL,0.98045614,152.17,149.2,-0.6731,SIGNAL_SELL
2026-01-01T02:10:00+00:00,BTC,BUY,0.99640553,150.31,149.77,0.0,SIGNAL_BUY
2026-01-01T02:15:00+00:00,BTC,SELL,0.99640553,149.17,148.64,-1.1326,SIGNAL_SELL
2026-01-01T02:20:00+00:00,BTC,BUY,0.99592837,150.21,149.6,0.0,SIGNAL_BUY
2026-01-01T02:30:00+00:00,BTC,BUY,0.84211372,151.0,127.16,0.0,SIGNAL_BUY
2026-01-01T02:35:00+00:00,BTC,BUY,0.71131425,151.95,108.09,0.0,SIGNAL_BUY
2026-01-01T02:40:00+00:00,BTC,SELL,2.54935634,151.27,385.65,0.8036,SIGNAL_SELL
