ts,action,entry,exit,sl,tp,pnl,rr,reason
2026-05-07T04:55:00+00:00,BUY,88.22,,88.22998,88.23,0.0,1.0,ENTRY_BUY
2026-05-07T04:55:00+00:00,SELL,88.22,88.23,88.22998,88.23,2.0,1.0,TP_HIT
2026-05-07T06:15:00+00:00,SHORT,88.365,,88.32002,88.32,0.0,1.0,ENTRY_SHORT
2026-05-07T06:15:00+00:00,COVER,88.365,88.32002,88.32002,88.32,1.9991,1.0,SL_HIT
2026-05-07T13:40:00+00:00,SHORT,89.07,,89.04002,89.04,0.0,1.0,ENTRY_SHORT
2026-05-07T13:40:00+00:00,COVER,89.07,89.04002,89.04002,89.04,1.9987,1.0,SL_HIT
2026-05-07T17:20:00+00:00,SHORT,88.41,,88.30002,88.3,0.0,1.0,ENTRY_SHORT
2026-05-07T17:20:00+00:00,COVER,88.41,88.30002,88.30002,88.3,1.9996,1.0,SL_HIT
2026-05-08T02:05:00+00:00,SHORT,87.98,,87.92002,87.92,0.0,1.0,ENTRY_SHORT
2026-05-08T02:05:00+00:00,COVER,87.98,87.92002,87.92002,87.92,1.9993,1.0,SL_HIT
