ts,session,structure,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-07T08:25:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.8,89.85,89.65,89.85,0,0,0,0,100.0
2026-05-07T08:30:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.84,89.98,89.69,89.74,0,0,0,0,100.0
2026-05-07T08:35:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.73,89.77,89.54,89.74,0,0,0,0,100.0
2026-05-07T08:40:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.74,89.82,89.59,89.62,0,0,0,0,100.0
2026-05-07T08:45:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.61,89.67,89.48,89.65,0,0,0,0,100.0
2026-05-07T08:50:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.65,89.81,89.61,89.67,0,0,0,0,100.0
2026-05-07T08:55:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.67,89.67,89.49,89.58,0,0,0,0,100.0
2026-05-07T09:00:00+00:00,CRYPTO,BEARISH,NO_TRADE,INVALID_PLAN,89.59,89.59,89.33,89.38,0,0,0,0,100.0
2026-05-07T09:05:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.38,89.55,89.33,89.55,0,0,0,0,100.0
2026-05-07T09:10:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.55,89.55,89.45,89.54,0,0,0,0,100.0
2026-05-07T09:15:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.54,89.56,89.45,89.54,0,0,0,0,100.0
2026-05-07T09:20:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.54,89.58,89.38,89.45,0,0,0,0,100.0
2026-05-07T09:25:00+00:00,CRYPTO,BEARISH,NO_TRADE,INVALID_PLAN,89.45,89.46,89.2,89.28,0,0,0,0,100.0
2026-05-07T09:30:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.28,89.6,89.24,89.5,0,0,0,0,100.0
2026-05-07T09:35:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.49,89.57,89.31,89.33,0,0,0,0,100.0
2026-05-07T09:40:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.33,89.42,89.26,89.3,0,0,0,0,100.0
2026-05-07T09:45:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.3,89.44,89.3,89.44,0,0,0,0,100.0
2026-05-07T09:50:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.44,89.46,89.33,89.42,0,0,0,0,100.0
2026-05-07T09:55:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.43,89.48,89.41,89.46,0,0,0,0,100.0
2026-05-07T10:00:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.46,89.53,89.37,89.48,0,0,0,0,100.0
2026-05-07T10:05:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.48,89.5,89.34,89.35,0,0,0,0,100.0
2026-05-07T10:10:00+00:00,CRYPTO,BEARISH,NO_TRADE,INVALID_PLAN,89.34,89.35,89.03,89.16,0,0,0,0,100.0
2026-05-07T10:15:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.16,89.25,89.1,89.12,0,0,0,0,100.0
2026-05-07T10:20:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.12,89.14,89.03,89.05,0,0,0,0,100.0
2026-05-07T10:25:00+00:00,CRYPTO,BEARISH,NO_TRADE,INVALID_PLAN,89.05,89.06,88.76,88.78,0,0,0,0,100.0
2026-05-07T10:30:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.78,88.95,88.77,88.91,0,0,0,0,100.0
2026-05-07T10:35:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,88.91,89.04,88.84,89.02,0,0,0,0,100.0
2026-05-07T10:40:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.03,89.2,89.01,89.18,0,0,0,0,100.0
2026-05-07T10:45:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.17,89.21,89.09,89.11,0,0,0,0,100.0
2026-05-07T10:50:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.11,89.21,89.09,89.19,0,0,0,0,100.0
2026-05-07T10:55:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.19,89.23,89.16,89.17,0,0,0,0,100.0
2026-05-07T11:00:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.17,89.42,89.17,89.4,0,0,0,0,100.0
2026-05-07T11:05:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.41,89.69,89.4,89.52,0,0,0,0,100.0
2026-05-07T11:10:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.52,89.52,89.39,89.46,0,0,0,0,100.0
2026-05-07T11:15:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.47,89.5,89.36,89.45,0,0,0,0,100.0
2026-05-07T11:20:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.44,89.65,89.4,89.61,0,0,0,0,100.0
2026-05-07T11:25:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,89.61,89.62,89.42,89.43,0,0,0,0,100.0
2026-05-07T11:30:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.44,89.57,89.41,89.51,0,0,0,0,100.0
2026-05-07T11:35:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.51,89.53,89.42,89.52,0,0,0,0,100.0
2026-05-07T11:40:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.53,89.63,89.52,89.6,0,0,0,0,100.0
2026-05-07T11:45:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.6,89.64,89.43,89.43,0,0,0,0,100.0
2026-05-07T11:50:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.44,89.49,89.28,89.48,0,0,0,0,100.0
2026-05-07T11:55:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.48,89.62,89.46,89.57,0,0,0,0,100.0
2026-05-07T12:00:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.56,89.81,89.52,89.77,0,0,0,0,100.0
2026-05-07T12:05:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.77,89.79,89.67,89.75,0,0,0,0,100.0
2026-05-07T12:10:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.75,90.0,89.75,89.98,0,0,0,0,100.0
2026-05-07T12:15:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.99,90.1,89.87,89.91,0,0,0,0,100.0
2026-05-07T12:20:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.91,89.92,89.75,89.82,0,0,0,0,100.0
2026-05-07T12:25:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.81,89.96,89.79,89.93,0,0,0,0,100.0
2026-05-07T12:30:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.93,90.0,89.84,89.89,0,0,0,0,100.0
2026-05-07T12:35:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.89,89.94,89.85,89.9,0,0,0,0,100.0
2026-05-07T12:40:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.89,89.91,89.82,89.91,0,0,0,0,100.0
2026-05-07T12:45:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.9,89.94,89.65,89.74,0,0,0,0,100.0
2026-05-07T12:50:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,89.75,89.82,89.69,89.77,0,0,0,0,100.0
2026-05-07T12:55:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.77,89.81,89.69,89.77,0,0,0,0,100.0
2026-05-07T13:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,89.76,89.76,89.54,89.56,0,0,0,0,100.0
