ts,action,entry,exit,sl,tp,pnl,rr,reason
2026-05-07T13:40:00+00:00,SHORT,89.089,,89.408848,88.769152,0.0,1.0,ENTRY_SHORT
2026-05-07T13:45:00+00:00,COVER,89.089,88.769152,89.408848,88.769152,1.0771,1.0,TP_HIT
2026-05-07T13:50:00+00:00,SHORT,88.66858,,89.04,88.29716,0.0,1.0,ENTRY_SHORT
2026-05-07T14:30:00+00:00,COVER,88.66858,88.29716,89.04,88.29716,1.2702,1.0,TP_HIT
2026-05-08T01:15:00+00:00,SHORT,88.10802,,88.316835,87.899205,0.0,1.0,ENTRY_SHORT
2026-05-08T02:00:00+00:00,COVER,88.10802,87.899205,88.316835,87.899205,0.7277,1.0,TP_HIT
2026-05-08T02:05:00+00:00,SHORT,87.99791,,88.203812,87.792008,0.0,1.0,ENTRY_SHORT
2026-05-08T02:05:00+00:00,COVER,87.99791,87.792008,88.203812,87.792008,0.7235,1.0,TP_HIT
2026-05-08T07:15:00+00:00,SHORT,87.825,,88.045559,87.604441,0.0,1.0,ENTRY_SHORT
2026-05-08T07:40:00+00:00,COVER,87.825,88.045559,88.045559,87.604441,-0.782,1.0,SL_HIT
