ts,structure,adx,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-07T21:25:00+00:00,RANGE,21.1,NO_TRADE,RANGE_STRUCTURE,88.05,88.17,88.05,88.14,0,0,0,0,100.0
2026-05-07T21:30:00+00:00,RANGE,20.7,NO_TRADE,RANGE_STRUCTURE,88.14,88.23,88.08,88.18,0,0,0,0,100.0
2026-05-07T21:35:00+00:00,RANGE,20.0,NO_TRADE,RANGE_STRUCTURE,88.18,88.23,88.11,88.15,0,0,0,0,100.0
2026-05-07T21:40:00+00:00,RANGE,19.3,NO_TRADE,ADX_TOO_LOW(19.3),88.15,88.16,87.98,88.0,0,0,0,0,100.0
2026-05-07T21:45:00+00:00,RANGE,19.9,NO_TRADE,ADX_TOO_LOW(19.9),88.0,88.1,87.98,88.07,0,0,0,0,100.0
2026-05-07T21:50:00+00:00,RANGE,21.1,NO_TRADE,RANGE_STRUCTURE,88.08,88.08,88.0,88.06,0,0,0,0,100.0
2026-05-07T21:55:00+00:00,RANGE,22.1,NO_TRADE,RANGE_STRUCTURE,88.05,88.1,87.95,87.97,0,0,0,0,100.0
2026-05-07T22:00:00+00:00,RANGE,23.3,NO_TRADE,RANGE_STRUCTURE,87.97,87.98,87.78,87.78,0,0,0,0,100.0
2026-05-07T22:05:00+00:00,RANGE,25.4,NO_TRADE,RANGE_STRUCTURE,87.77,87.86,87.68,87.83,0,0,0,0,100.0
2026-05-07T22:10:00+00:00,RANGE,27.3,NO_TRADE,RANGE_STRUCTURE,87.83,88.0,87.72,87.95,0,0,0,0,100.0
2026-05-07T22:15:00+00:00,RANGE,27.8,NO_TRADE,RANGE_STRUCTURE,87.96,88.08,87.93,88.08,0,0,0,0,100.0
2026-05-07T22:20:00+00:00,RANGE,26.1,NO_TRADE,RANGE_STRUCTURE,88.07,88.22,88.07,88.14,0,0,0,0,100.0
2026-05-07T22:25:00+00:00,RANGE,23.4,NO_TRADE,RANGE_STRUCTURE,88.14,88.18,88.02,88.02,0,0,0,0,100.0
2026-05-07T22:30:00+00:00,BEARISH,22.0,NO_TRADE,NO_BREAKOUT,88.03,88.13,87.8,87.8,0,0,0,0,100.0
2026-05-07T22:35:00+00:00,BEARISH,21.7,NO_TRADE,NO_BREAKOUT,87.81,87.94,87.81,87.92,0,0,0,0,100.0
2026-05-07T22:40:00+00:00,RANGE,22.1,NO_TRADE,RANGE_STRUCTURE,87.92,87.98,87.87,87.88,0,0,0,0,100.0
2026-05-07T22:45:00+00:00,RANGE,22.6,NO_TRADE,RANGE_STRUCTURE,87.88,88.0,87.88,87.99,0,0,0,0,100.0
2026-05-07T22:50:00+00:00,RANGE,22.9,NO_TRADE,RANGE_STRUCTURE,87.98,88.09,87.98,88.09,0,0,0,0,100.0
2026-05-07T22:55:00+00:00,RANGE,21.8,NO_TRADE,RANGE_STRUCTURE,88.09,88.17,88.06,88.1,0,0,0,0,100.0
2026-05-07T23:00:00+00:00,RANGE,20.2,NO_TRADE,RANGE_STRUCTURE,88.09,88.25,88.06,88.23,0,0,0,0,100.0
2026-05-07T23:05:00+00:00,RANGE,19.1,NO_TRADE,ADX_TOO_LOW(19.1),88.23,88.28,88.18,88.28,0,0,0,0,100.0
2026-05-07T23:10:00+00:00,RANGE,17.9,NO_TRADE,ADX_TOO_LOW(17.9),88.28,88.29,88.18,88.22,0,0,0,0,100.0
2026-05-07T23:15:00+00:00,RANGE,15.9,NO_TRADE,ADX_TOO_LOW(15.9),88.22,88.28,88.09,88.1,0,0,0,0,100.0
2026-05-07T23:20:00+00:00,RANGE,12.7,NO_TRADE,ADX_TOO_LOW(12.7),88.09,88.26,88.09,88.23,0,0,0,0,100.0
2026-05-07T23:25:00+00:00,RANGE,10.9,NO_TRADE,ADX_TOO_LOW(10.9),88.22,88.36,88.22,88.24,0,0,0,0,100.0
2026-05-07T23:30:00+00:00,RANGE,10.4,NO_TRADE,ADX_TOO_LOW(10.4),88.25,88.28,88.19,88.19,0,0,0,0,100.0
2026-05-07T23:35:00+00:00,RANGE,10.7,NO_TRADE,ADX_TOO_LOW(10.7),88.2,88.35,88.18,88.32,0,0,0,0,100.0
2026-05-07T23:40:00+00:00,RANGE,11.2,NO_TRADE,ADX_TOO_LOW(11.2),88.31,88.39,88.29,88.39,0,0,0,0,100.0
2026-05-07T23:45:00+00:00,RANGE,10.8,NO_TRADE,ADX_TOO_LOW(10.8),88.39,88.47,88.37,88.47,0,0,0,0,100.0
2026-05-07T23:50:00+00:00,RANGE,10.9,NO_TRADE,ADX_TOO_LOW(10.9),88.46,88.48,88.4,88.43,0,0,0,0,100.0
2026-05-07T23:55:00+00:00,RANGE,11.4,NO_TRADE,ADX_TOO_LOW(11.4),88.42,88.44,88.41,88.42,0,0,0,0,100.0
2026-05-08T00:00:00+00:00,RANGE,12.1,NO_TRADE,ADX_TOO_LOW(12.1),88.43,88.55,88.39,88.52,0,0,0,0,100.0
2026-05-08T00:05:00+00:00,RANGE,14.1,NO_TRADE,ADX_TOO_LOW(14.1),88.53,88.63,88.52,88.58,0,0,0,0,100.0
2026-05-08T00:10:00+00:00,RANGE,17.0,NO_TRADE,ADX_TOO_LOW(17.0),88.58,88.65,88.55,88.56,0,0,0,0,100.0
2026-05-08T00:15:00+00:00,RANGE,19.6,NO_TRADE,ADX_TOO_LOW(19.6),88.57,88.58,88.43,88.56,0,0,0,0,100.0
2026-05-08T00:20:00+00:00,BULLISH,20.6,NO_TRADE,NO_BREAKOUT,88.55,88.6,88.48,88.59,0,0,0,0,100.0
2026-05-08T00:25:00+00:00,BULLISH,21.6,NO_TRADE,NO_BREAKOUT,88.6,88.62,88.38,88.41,0,0,0,0,100.0
2026-05-08T00:30:00+00:00,BULLISH,22.4,NO_TRADE,NO_BREAKOUT,88.42,88.45,88.39,88.4,0,0,0,0,100.0
2026-05-08T00:35:00+00:00,RANGE,23.1,NO_TRADE,RANGE_STRUCTURE,88.41,88.43,88.28,88.3,0,0,0,0,100.0
2026-05-08T00:40:00+00:00,RANGE,22.5,NO_TRADE,RANGE_STRUCTURE,88.29,88.35,88.29,88.3,0,0,0,0,100.0
2026-05-08T00:45:00+00:00,RANGE,22.1,NO_TRADE,RANGE_STRUCTURE,88.3,88.3,88.17,88.25,0,0,0,0,100.0
2026-05-08T00:50:00+00:00,RANGE,22.2,NO_TRADE,RANGE_STRUCTURE,88.25,88.25,88.13,88.18,0,0,0,0,100.0
2026-05-08T00:55:00+00:00,RANGE,22.3,NO_TRADE,RANGE_STRUCTURE,88.17,88.27,88.1,88.27,0,0,0,0,100.0
2026-05-08T01:00:00+00:00,RANGE,22.1,NO_TRADE,RANGE_STRUCTURE,88.27,88.37,88.27,88.3,0,0,0,0,100.0
