ts,symbol,side,qty,price,usd_amount,realized_pnl,reason
2026-05-07T17:30:00+00:00,SOLUSDT,BUY,0.28280543,88.4,25.0,0.0,SIGNAL_BUY
2026-05-07T18:40:00+00:00,SOLUSDT,SELL,0.28280543,88.62,25.06,0.0622,SIGNAL_SELL
2026-05-07T18:55:00+00:00,SOLUSDT,BUY,0.28240635,88.58,25.02,0.0,SIGNAL_BUY
2026-05-07T19:10:00+00:00,SOLUSDT,BUY,0.21187652,88.55,18.76,0.0,SIGNAL_BUY
2026-05-07T19:30:00+00:00,SOLUSDT,BUY,0.15910503,88.44,14.07,0.0,SIGNAL_BUY
2026-05-07T19:35:00+00:00,SOLUSDT,BUY,0.1190864,88.62,10.55,0.0,SIGNAL_BUY
2026-05-07T20:00:00+00:00,SOLUSDT,BUY,0.08925437,88.68,7.92,0.0,SIGNAL_BUY
2026-05-07T20:30:00+00:00,SOLUSDT,SELL,0.86172868,88.41,76.19,-0.1316,MAX_HOLD
2026-05-07T21:15:00+00:00,SOLUSDT,BUY,0.28363608,88.08,24.98,0.0,SIGNAL_BUY
2026-05-07T22:10:00+00:00,SOLUSDT,BUY,0.2130415,87.95,18.74,0.0,SIGNAL_BUY
2026-05-07T22:25:00+00:00,SOLUSDT,SELL,0.49667758,88.02,43.72,-0.0021,SIGNAL_SELL
2026-05-08T01:30:00+00:00,SOLUSDT,BUY,0.28305167,88.26,24.98,0.0,SIGNAL_BUY
2026-05-08T02:25:00+00:00,SOLUSDT,BUY,0.21315819,87.9,18.74,0.0,SIGNAL_BUY
2026-05-08T02:55:00+00:00,SOLUSDT,SELL,0.49620986,88.06,43.7,-0.0225,SIGNAL_SELL
2026-05-08T03:10:00+00:00,SOLUSDT,BUY,0.28385628,87.99,24.98,0.0,SIGNAL_BUY
2026-05-08T03:45:00+00:00,SOLUSDT,SELL,0.28385628,88.2,25.04,0.0596,SIGNAL_SELL
2026-05-08T06:10:00+00:00,SOLUSDT,BUY,0.28367101,88.1,24.99,0.0,SIGNAL_BUY
2026-05-08T07:30:00+00:00,SOLUSDT,BUY,0.21328587,87.88,18.74,0.0,SIGNAL_BUY
2026-05-08T07:35:00+00:00,SOLUSDT,BUY,0.15981891,87.96,14.06,0.0,SIGNAL_BUY
2026-05-08T07:45:00+00:00,SOLUSDT,SELL,0.6567758,88.19,57.92,0.1284,MAX_HOLD
2026-05-08T13:20:00+00:00,SOLUSDT,BUY,0.28275162,88.5,25.02,0.0,SIGNAL_BUY
2026-05-08T13:30:00+00:00,SOLUSDT,BUY,0.21206371,88.5,18.77,0.0,SIGNAL_BUY
2026-05-08T14:55:00+00:00,SOLUSDT,SELL,0.49481533,89.15,44.11,0.3216,MAX_HOLD
