timestamp_utc,instrument,action,reason_code,p_model_up,p_market_up,edge,balance,position_qty,position_value,total_equity,price
2026-05-07T22:55:00+00:00,SOLUSDT,HOLD,WARMUP,0.5,0.5,0.0,100.0,0.0,0.0,100.0,88.1
2026-05-07T23:00:00+00:00,SOLUSDT,HOLD,WARMUP,0.5,1.0,0.5,100.0,0.0,0.0,100.0,88.23
2026-05-07T23:05:00+00:00,SOLUSDT,HOLD,WARMUP,0.5651,1.0,0.4349,100.0,0.0,0.0,100.0,88.28
2026-05-07T23:10:00+00:00,SOLUSDT,HOLD,WARMUP,0.4802,0.6667,0.1865,100.0,0.0,0.0,100.0,88.22
2026-05-07T23:15:00+00:00,SOLUSDT,HOLD,WARMUP,0.4149,0.0,0.4149,100.0,0.0,0.0,100.0,88.1
2026-05-07T23:20:00+00:00,SOLUSDT,HOLD,WARMUP,0.5397,0.7222,0.1825,100.0,0.0,0.0,100.0,88.23
2026-05-07T23:25:00+00:00,SOLUSDT,HOLD,WARMUP,0.5425,0.7778,0.2353,100.0,0.0,0.0,100.0,88.24
2026-05-07T23:30:00+00:00,SOLUSDT,HOLD,WARMUP,0.4745,0.5,0.0255,100.0,0.0,0.0,100.0,88.19
2026-05-07T23:35:00+00:00,SOLUSDT,HOLD,WARMUP,0.5594,1.0,0.4406,100.0,0.0,0.0,100.0,88.32
2026-05-07T23:40:00+00:00,SOLUSDT,HOLD,WARMUP,0.5764,1.0,0.4236,100.0,0.0,0.0,100.0,88.39
2026-05-07T23:45:00+00:00,SOLUSDT,HOLD,HOLD,0.565,1.0,0.435,100.0,0.0,0.0,100.0,88.47
2026-05-07T23:50:00+00:00,SOLUSDT,HOLD,HOLD,0.5,0.8919,0.3919,100.0,0.0,0.0,100.0,88.43
2026-05-07T23:55:00+00:00,SOLUSDT,HOLD,HOLD,0.483,0.8649,0.3819,100.0,0.0,0.0,100.0,88.42
2026-05-08T00:00:00+00:00,SOLUSDT,HOLD,HOLD,0.5537,1.0,0.4463,100.0,0.0,0.0,100.0,88.52
2026-05-08T00:05:00+00:00,SOLUSDT,HOLD,HOLD,0.5621,1.0,0.4379,100.0,0.0,0.0,100.0,88.58
2026-05-08T00:10:00+00:00,SOLUSDT,HOLD,HOLD,0.5056,0.9583,0.4527,100.0,0.0,0.0,100.0,88.56
2026-05-08T00:15:00+00:00,SOLUSDT,HOLD,HOLD,0.4944,0.9583,0.4639,100.0,0.0,0.0,100.0,88.56
2026-05-08T00:20:00+00:00,SOLUSDT,HOLD,HOLD,0.5169,1.0,0.4831,100.0,0.0,0.0,100.0,88.59
2026-05-08T00:25:00+00:00,SOLUSDT,HOLD,HOLD,0.4067,0.6327,0.226,100.0,0.0,0.0,100.0,88.41
2026-05-08T00:30:00+00:00,SOLUSDT,HOLD,HOLD,0.4434,0.6122,0.1688,100.0,0.0,0.0,100.0,88.4
2026-05-08T00:35:00+00:00,SOLUSDT,HOLD,HOLD,0.4405,0.4082,0.0323,100.0,0.0,0.0,100.0,88.3
2026-05-08T00:40:00+00:00,SOLUSDT,HOLD,HOLD,0.4717,0.4082,0.0635,100.0,0.0,0.0,100.0,88.3
2026-05-08T00:45:00+00:00,SOLUSDT,HOLD,HOLD,0.4717,0.3061,0.1656,100.0,0.0,0.0,100.0,88.25
2026-05-08T00:50:00+00:00,SOLUSDT,HOLD,HOLD,0.4461,0.1633,0.2828,100.0,0.0,0.0,100.0,88.18
2026-05-08T00:55:00+00:00,SOLUSDT,HOLD,HOLD,0.5312,0.3469,0.1843,100.0,0.0,0.0,100.0,88.27
2026-05-08T01:00:00+00:00,SOLUSDT,HOLD,HOLD,0.5425,0.2927,0.2498,100.0,0.0,0.0,100.0,88.3
2026-05-08T01:05:00+00:00,SOLUSDT,HOLD,HOLD,0.4575,0.0732,0.3843,100.0,0.0,0.0,100.0,88.21
2026-05-08T01:10:00+00:00,SOLUSDT,HOLD,HOLD,0.3665,0.0,0.3665,100.0,0.0,0.0,100.0,88.02
2026-05-08T01:15:00+00:00,SOLUSDT,HOLD,HOLD,0.5142,0.2105,0.3037,100.0,0.0,0.0,100.0,88.14
