ts,balance,positions,total_equity
2026-05-06T21:35:00+00:00,100.0,0,100.0
2026-05-06T22:25:00+00:00,100.0,0,100.0
2026-05-06T23:15:00+00:00,100.0,0,100.0
2026-05-07T00:05:00+00:00,100.0,0,100.0
2026-05-07T00:55:00+00:00,100.0,0,100.0
2026-05-07T01:45:00+00:00,100.0,0,100.0
2026-05-07T02:35:00+00:00,100.0,0,100.0
2026-05-07T03:25:00+00:00,100.0,0,100.0
2026-05-07T04:15:00+00:00,100.0,0,100.0
2026-05-07T05:05:00+00:00,100.0,0,100.0
2026-05-07T05:55:00+00:00,100.0,0,100.0
2026-05-07T06:45:00+00:00,100.0,0,100.0
2026-05-07T07:35:00+00:00,100.0,0,100.0
2026-05-07T08:25:00+00:00,100.0,0,100.0
2026-05-07T09:15:00+00:00,100.0,0,100.0
2026-05-07T10:05:00+00:00,100.0,0,100.0
2026-05-07T10:55:00+00:00,100.0,0,100.0
2026-05-07T11:45:00+00:00,100.0,0,100.0
2026-05-07T12:35:00+00:00,100.0,0,100.0
2026-05-07T13:25:00+00:00,100.0,0,100.0
2026-05-07T14:15:00+00:00,100.0,0,100.0
2026-05-07T15:05:00+00:00,100.0,0,100.0
2026-05-07T15:55:00+00:00,100.0,0,100.0
2026-05-07T16:45:00+00:00,100.0,0,100.0
2026-05-07T17:35:00+00:00,100.0,0,100.0
2026-05-07T18:25:00+00:00,100.0,0,100.0
2026-05-07T19:15:00+00:00,100.0,0,100.0
