ts,balance,position_qty,avg_entry,position_value,unrealized_pnl,realized_pnl,total_equity,price
2026-01-01T00:00:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,5.0
2026-01-01T00:05:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,4.99
2026-01-01T00:10:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,5.17
2026-01-01T00:15:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,5.46
2026-01-01T00:20:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,5.32
2026-01-01T00:25:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,5.51
2026-01-01T00:30:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,5.59
2026-01-01T00:35:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,5.84
2026-01-01T00:40:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,6.08
2026-01-01T00:45:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,6.34
2026-01-01T00:50:00+00:00,1000.0,0.0,0,0.0,0.0,0.0,1000.0,6.41
2026-01-01T01:15:00+00:00,990.38,0.0,0,0.0,0.0,-9.6227,990.38,5.52
2026-01-01T01:40:00+00:00,993.4,0.0,0,0.0,0.0,-6.5973,993.4,5.44
2026-01-01T02:05:00+00:00,990.21,0.0,0,0.0,0.0,-9.794,990.21,4.87
2026-01-01T02:30:00+00:00,731.43,47.424485,5.141,243.81,0.0,-24.7629,975.24,5.14
2026-01-01T02:55:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,5.37
2026-01-01T03:20:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,5.05
2026-01-01T03:45:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.88
2026-01-01T04:10:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.74
2026-01-01T04:35:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.45
2026-01-01T05:00:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.58
2026-01-01T05:25:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.45
2026-01-01T05:50:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.25
2026-01-01T06:15:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.3
2026-01-01T06:40:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.5
2026-01-01T07:05:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.81
2026-01-01T07:30:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.74
2026-01-01T07:55:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.39
2026-01-01T08:20:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.65
2026-01-01T08:45:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,5.02
2026-01-01T09:10:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,5.1
2026-01-01T09:35:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.73
2026-01-01T10:00:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.48
2026-01-01T10:25:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.8
2026-01-01T10:50:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.88
2026-01-01T11:15:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.7
2026-01-01T11:40:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.58
2026-01-01T12:05:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,3.86
2026-01-01T12:30:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.02
2026-01-01T12:55:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,3.95
2026-01-01T13:20:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,3.6
2026-01-01T13:45:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,3.24
2026-01-01T14:10:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,3.08
2026-01-01T14:35:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,3.72
2026-01-01T15:00:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,3.88
2026-01-01T15:25:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,3.91
2026-01-01T15:50:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.41
2026-01-01T16:15:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.66
2026-01-01T16:40:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.91
2026-01-01T17:05:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,5.22
2026-01-01T17:30:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.75
2026-01-01T17:55:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.83
2026-01-01T18:20:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,5.25
2026-01-01T18:45:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.59
2026-01-01T19:10:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.85
2026-01-01T19:35:00+00:00,971.42,0.0,0,0.0,0.0,-28.579,971.42,4.3
