ts,symbol,side,qty,price,usd_amount,realized_pnl,reason
2026-01-01T01:05:00+00:00,BTC,BUY,41.14007372,6.08,250.0,0.0,SIGNAL_BUY
2026-01-01T01:10:00+00:00,BTC,SELL,41.14007372,5.84,240.38,-9.6227,SIGNAL_SELL
2026-01-01T01:25:00+00:00,BTC,BUY,44.1014453,5.61,247.59,0.0,SIGNAL_BUY
2026-01-01T01:30:00+00:00,BTC,SELL,44.1014453,5.68,250.62,3.0254,TAKE_PROFIT
2026-01-01T01:55:00+00:00,BTC,BUY,49.40728802,5.03,248.35,0.0,SIGNAL_BUY
2026-01-01T02:00:00+00:00,BTC,SELL,49.40728802,4.96,245.15,-3.1967,SIGNAL_SELL
2026-01-01T02:10:00+00:00,BTC,BUY,49.50337175,5.0,247.55,0.0,SIGNAL_BUY
2026-01-01T02:15:00+00:00,BTC,SELL,49.50337175,4.75,235.07,-12.4798,SIGNAL_SELL
2026-01-01T02:20:00+00:00,BTC,BUY,49.19228825,4.97,244.43,0.0,SIGNAL_BUY
2026-01-01T02:25:00+00:00,BTC,SELL,49.19228825,4.92,241.94,-2.4891,SIGNAL_SELL
2026-01-01T02:30:00+00:00,BTC,BUY,47.42448524,5.14,243.81,0.0,SIGNAL_BUY
2026-01-01T02:35:00+00:00,BTC,SELL,81.5586945,5.36,436.91,10.2437,TAKE_PROFIT
2026-01-01T02:45:00+00:00,BTC,BUY,45.16493443,5.45,246.37,0.0,SIGNAL_BUY
2026-01-01T02:50:00+00:00,BTC,SELL,45.16493443,5.14,232.31,-14.0598,STOP_LOSS
