timestamp_utc,instrument,timeframe,open,high,low,close,volume,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-05-08T07:55:00Z,LINKUSDT,5m,9.89000000,9.90000000,9.87000000,9.90000000,12298.37000000,0.5000,0.5000,NEUTRAL,0.0
2026-05-08T08:00:00Z,LINKUSDT,5m,9.90000000,9.90000000,9.88000000,9.89000000,4638.32000000,0.5000,0.0000,NEUTRAL,0.0
2026-05-08T08:05:00Z,LINKUSDT,5m,9.90000000,9.90000000,9.89000000,9.89000000,1327.20000000,0.4747,0.0000,NEUTRAL,0.0
2026-05-08T08:10:00Z,LINKUSDT,5m,9.89000000,9.90000000,9.89000000,9.89000000,1582.86000000,0.5000,0.0000,NEUTRAL,0.0
2026-05-08T08:15:00Z,LINKUSDT,5m,9.90000000,9.90000000,9.89000000,9.90000000,280.03000000,0.5505,1.0000,NEUTRAL,0.0
2026-05-08T08:20:00Z,LINKUSDT,5m,9.89000000,9.91000000,9.89000000,9.90000000,5876.44000000,0.5252,1.0000,NEUTRAL,0.0
2026-05-08T08:25:00Z,LINKUSDT,5m,9.90000000,9.92000000,9.89000000,9.91000000,8045.74000000,0.5504,1.0000,NEUTRAL,0.0
2026-05-08T08:30:00Z,LINKUSDT,5m,9.91000000,9.93000000,9.90000000,9.90000000,29010.88000000,0.4748,0.5000,NEUTRAL,0.0
2026-05-08T08:35:00Z,LINKUSDT,5m,9.90000000,9.92000000,9.90000000,9.91000000,15313.82000000,0.5252,1.0000,NEUTRAL,0.0
2026-05-08T08:40:00Z,LINKUSDT,5m,9.92000000,9.92000000,9.90000000,9.91000000,2287.65000000,0.5252,1.0000,NEUTRAL,0.0
2026-05-08T08:45:00Z,LINKUSDT,5m,9.91000000,9.95000000,9.91000000,9.92000000,10240.05000000,0.5504,1.0000,NEUTRAL,0.0
2026-05-08T08:50:00Z,LINKUSDT,5m,9.93000000,9.93000000,9.90000000,9.91000000,6813.81000000,0.4748,0.6667,NEUTRAL,0.0
2026-05-08T08:55:00Z,LINKUSDT,5m,9.91000000,9.92000000,9.90000000,9.90000000,3342.32000000,0.4243,0.3333,NEUTRAL,0.0
2026-05-08T09:00:00Z,LINKUSDT,5m,9.91000000,9.91000000,9.88000000,9.91000000,23430.93000000,0.5252,0.6667,NEUTRAL,0.0
2026-05-08T09:05:00Z,LINKUSDT,5m,9.91000000,9.92000000,9.89000000,9.91000000,7833.40000000,0.5252,0.6667,NEUTRAL,0.0
2026-05-08T09:10:00Z,LINKUSDT,5m,9.91000000,9.92000000,9.90000000,9.92000000,7348.59000000,0.5504,1.0000,NEUTRAL,0.0
2026-05-08T09:15:00Z,LINKUSDT,5m,9.92000000,9.93000000,9.91000000,9.92000000,10644.71000000,0.5252,1.0000,NEUTRAL,0.0
2026-05-08T09:20:00Z,LINKUSDT,5m,9.93000000,9.94000000,9.92000000,9.92000000,3267.76000000,0.5000,1.0000,NEUTRAL,0.0
