entry_timestamp_utc,exit_timestamp_utc,instrument,timeframe,side,stake,p_side_model,edge,entry_price,exit_price,result,pnl,equity_after
2026-05-07T05:20:00+00:00,2026-05-07T05:25:00+00:00,SOLUSDT,5m,DOWN,1.524391,0.5367,0.3923,88.5,88.6,LOSS,-1.524391,98.475609
2026-05-07T05:35:00+00:00,2026-05-07T05:40:00+00:00,SOLUSDT,5m,DOWN,0.438757,0.5198,0.4198,88.54,88.47,WIN,0.416819,98.892428
2026-05-07T05:40:00+00:00,2026-05-07T05:45:00+00:00,SOLUSDT,5m,DOWN,1.867347,0.5424,0.3646,88.47,88.57,LOSS,-1.867347,97.02508
2026-05-07T06:05:00+00:00,2026-05-07T06:10:00+00:00,SOLUSDT,5m,DOWN,4.805099,0.5904,0.3369,88.51,88.24,WIN,4.564844,101.589924
2026-05-07T06:10:00+00:00,2026-05-07T06:15:00+00:00,SOLUSDT,5m,DOWN,8.127194,0.704,0.0702,88.24,88.29,LOSS,-8.127194,93.46273
2026-05-07T06:20:00+00:00,2026-05-07T06:25:00+00:00,SOLUSDT,5m,UP,1.430704,0.5368,0.0438,88.33,88.49,WIN,1.359169,94.821899
2026-05-07T07:05:00+00:00,2026-05-07T07:10:00+00:00,SOLUSDT,5m,DOWN,2.111301,0.5477,0.4603,89.18,89.52,LOSS,-2.111301,92.710598
2026-05-07T07:50:00+00:00,2026-05-07T07:55:00+00:00,SOLUSDT,5m,DOWN,5.650812,0.6083,0.4869,90.05,90.16,LOSS,-5.650812,87.059786
2026-05-07T08:10:00+00:00,2026-05-07T08:15:00+00:00,SOLUSDT,5m,DOWN,0.67689,0.525,0.4107,90.14,89.77,WIN,0.643045,87.702831
2026-05-07T08:15:00+00:00,2026-05-07T08:20:00+00:00,SOLUSDT,5m,DOWN,7.016227,0.7395,0.3318,89.77,89.8,LOSS,-7.016227,80.686605
2026-05-07T08:20:00+00:00,2026-05-07T08:25:00+00:00,SOLUSDT,5m,DOWN,3.784765,0.5863,0.1731,89.8,89.85,LOSS,-3.784765,76.90184
2026-05-07T08:30:00+00:00,2026-05-07T08:35:00+00:00,SOLUSDT,5m,DOWN,1.697566,0.5474,0.0518,89.74,89.74,WIN,1.612688,78.514527
2026-05-07T08:35:00+00:00,2026-05-07T08:40:00+00:00,SOLUSDT,5m,DOWN,0.891129,0.5306,0.0306,89.74,89.62,WIN,0.846573,79.3611
2026-05-07T08:50:00+00:00,2026-05-07T08:55:00+00:00,SOLUSDT,5m,UP,0.338394,0.5195,0.2785,89.67,89.58,LOSS,-0.338394,79.022706
2026-05-07T09:05:00+00:00,2026-05-07T09:10:00+00:00,SOLUSDT,5m,UP,1.325685,0.5391,0.3543,89.55,89.54,LOSS,-1.325685,77.697022
2026-05-07T09:10:00+00:00,2026-05-07T09:15:00+00:00,SOLUSDT,5m,UP,1.442323,0.5419,0.368,89.54,89.54,LOSS,-1.442323,76.254699
2026-05-07T09:30:00+00:00,2026-05-07T09:35:00+00:00,SOLUSDT,5m,UP,3.046281,0.5754,0.3509,89.5,89.33,LOSS,-3.046281,73.208418
2026-05-07T09:45:00+00:00,2026-05-07T09:50:00+00:00,SOLUSDT,5m,UP,2.667549,0.5699,0.4066,89.44,89.42,LOSS,-2.667549,70.540868
2026-05-07T21:50:00+00:00,2026-05-07T21:55:00+00:00,SOLUSDT,5m,UP,0.06212,0.5142,0.0824,88.06,87.97,LOSS,-0.06212,70.478748
