ts,balance,position_qty,avg_entry,position_value,unrealized_pnl,realized_pnl,total_equity,price
2026-05-07T08:55:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,89.58
2026-05-07T09:00:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,89.38
2026-05-07T09:05:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,89.55
2026-05-07T09:10:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,89.54
2026-05-07T09:15:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,89.54
2026-05-07T09:20:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,89.45
2026-05-07T09:25:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,89.28
2026-05-07T09:30:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,89.5
2026-05-07T09:35:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,89.33
2026-05-07T09:40:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,89.3
2026-05-07T09:45:00+00:00,75.0,0.279517,89.44,25.0,0.0,0.0,100.0,89.44
2026-05-07T10:10:00+00:00,75.0,0.279517,89.44,24.92,-0.0783,0.0,99.92,89.16
2026-05-07T10:35:00+00:00,56.25,0.490144,89.259516,43.63,-0.1174,0.0,99.88,89.02
2026-05-07T11:00:00+00:00,42.19,0.647831,89.240161,57.92,0.1035,0.0,100.1,89.4
2026-05-07T11:25:00+00:00,100.24,0.0,0,0.0,0.0,0.2396,100.24,89.43
2026-05-07T11:50:00+00:00,100.24,0.0,0,0.0,0.0,0.2396,100.24,89.48
2026-05-07T12:15:00+00:00,100.24,0.0,0,0.0,0.0,0.2396,100.24,89.91
2026-05-07T12:40:00+00:00,100.24,0.0,0,0.0,0.0,0.2396,100.24,89.91
2026-05-07T13:05:00+00:00,100.24,0.0,0,0.0,0.0,0.2396,100.24,89.3
2026-05-07T13:30:00+00:00,56.38,0.490507,89.407138,43.74,-0.1163,0.2396,100.12,89.17
2026-05-07T13:55:00+00:00,56.38,0.490507,89.407138,43.5,-0.3567,0.2396,99.88,88.68
2026-05-07T14:20:00+00:00,42.29,0.649105,89.278341,57.46,-0.4922,0.2396,99.75,88.52
2026-05-07T14:45:00+00:00,31.72,0.769107,89.094488,67.76,-0.7649,0.2396,99.47,88.1
2026-05-07T15:10:00+00:00,74.69,0.28137,88.48,24.86,-0.0338,-0.4176,99.55,88.36
2026-05-07T15:35:00+00:00,56.02,0.492756,88.415652,43.54,-0.0225,-0.4176,99.56,88.37
2026-05-07T16:00:00+00:00,56.02,0.492756,88.415652,43.53,-0.0422,-0.4176,99.54,88.33
2026-05-07T16:25:00+00:00,56.02,0.492756,88.415652,43.71,0.1401,-0.4176,99.72,88.7
2026-05-07T16:50:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.58
2026-05-07T17:15:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.27
2026-05-07T17:40:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.49
2026-05-07T18:05:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.84
2026-05-07T18:30:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.96
2026-05-07T18:55:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.58
2026-05-07T19:20:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.28
2026-05-07T19:45:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.59
2026-05-07T20:10:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.55
2026-05-07T20:35:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.21
2026-05-07T21:00:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.13
2026-05-07T21:25:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.14
2026-05-07T21:50:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.06
2026-05-07T22:15:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.08
2026-05-07T22:40:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,87.88
2026-05-07T23:05:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.28
2026-05-07T23:30:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.19
2026-05-07T23:55:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.42
2026-05-08T00:20:00+00:00,99.63,0.0,0,0.0,0.0,-0.3662,99.63,88.59
