timestamp_utc,instrument,timeframe,open,high,low,close,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-01-01T00:00:00Z,BTC,1h,43000.00,43132.59,42992.48,43112.38,0.6048,0.4871,SELL,0.5385
2026-01-01T01:00:00Z,BTC,1h,43112.38,43114.78,43013.08,43025.33,0.4251,0.5069,SELL,0.5385
2026-01-01T02:00:00Z,BTC,1h,43025.33,43065.81,42998.66,43057.43,0.5296,0.5102,SELL,0.5385
2026-01-01T03:00:00Z,BTC,1h,43057.43,43080.21,43008.20,43010.35,0.4562,0.4980,SELL,0.5385
2026-01-01T04:00:00Z,BTC,1h,43010.35,43019.13,42973.83,42989.53,0.4817,0.4975,SELL,0.5385
2026-01-01T05:00:00Z,BTC,1h,42989.53,43005.92,42942.56,42946.23,0.4589,0.5133,SELL,0.5385
2026-01-01T06:00:00Z,BTC,1h,42946.23,43007.58,42941.05,43000.38,0.5544,0.5039,SELL,0.5385
2026-01-01T07:00:00Z,BTC,1h,43000.38,43032.58,42976.99,42984.55,0.4884,0.5052,SELL,0.5385
2026-01-01T08:00:00Z,BTC,1h,42984.55,43063.29,42984.01,43061.06,0.5721,0.5021,SELL,0.5385
2026-01-01T09:00:00Z,BTC,1h,43061.06,43072.84,43012.17,43016.46,0.4592,0.4995,SELL,0.5385
2026-01-01T10:00:00Z,BTC,1h,43016.46,43054.67,42994.52,43016.56,0.4992,0.4929,SELL,0.5385
2026-01-01T11:00:00Z,BTC,1h,43016.56,43031.28,42960.35,42963.51,0.4534,0.4941,SELL,0.5385
2026-01-01T12:00:00Z,BTC,1h,42963.51,42970.73,42929.33,42954.35,0.4962,0.4919,SELL,0.5385
2026-01-01T13:00:00Z,BTC,1h,42954.35,42959.81,42834.05,42840.10,0.3945,0.5117,SELL,0.5385
2026-01-01T14:00:00Z,BTC,1h,42840.10,42965.32,42825.48,42938.25,0.5964,0.4991,SELL,0.5385
2026-01-01T15:00:00Z,BTC,1h,42938.25,43043.04,42935.57,43035.81,0.5934,0.4987,SELL,0.5385
2026-01-01T16:00:00Z,BTC,1h,43035.81,43071.57,43019.98,43049.79,0.5201,0.5083,SELL,0.5385
2026-01-01T17:00:00Z,BTC,1h,43049.79,43094.97,43038.82,43058.00,0.5078,0.4904,SELL,0.5385
2026-01-01T18:00:00Z,BTC,1h,43058.00,43109.35,43031.79,43050.45,0.4922,0.4886,SELL,0.5385
2026-01-01T19:00:00Z,BTC,1h,43050.45,43068.28,42999.27,43003.25,0.4589,0.4898,SELL,0.5385
