timestamp_utc,instrument,timeframe,open,high,low,close,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-01-01T00:00:00Z,BTC,5m,0.600000,0.603000,0.597000,0.600000,0.6881,0.5314,SELL,0.4231
2026-01-01T00:05:00Z,BTC,5m,0.600000,0.600050,0.599840,0.599890,0.4805,0.4761,SELL,0.4231
2026-01-01T00:10:00Z,BTC,5m,0.599890,0.603076,0.598902,0.602085,0.6807,0.4713,SELL,0.4231
2026-01-01T00:15:00Z,BTC,5m,0.602085,0.606995,0.600564,0.605465,0.7621,0.5126,SELL,0.4231
2026-01-01T00:20:00Z,BTC,5m,0.605465,0.606185,0.603149,0.603866,0.3960,0.4712,SELL,0.4231
2026-01-01T00:25:00Z,BTC,5m,0.603866,0.607013,0.602891,0.606034,0.6649,0.5202,SELL,0.4231
2026-01-01T00:30:00Z,BTC,5m,0.606034,0.607345,0.605627,0.606937,0.5737,0.4685,SELL,0.4231
2026-01-01T00:35:00Z,BTC,5m,0.606937,0.610782,0.605746,0.609586,0.6834,0.4606,SELL,0.4231
2026-01-01T00:40:00Z,BTC,5m,0.609586,0.613337,0.608423,0.612169,0.7181,0.4804,SELL,0.4231
2026-01-01T00:45:00Z,BTC,5m,0.612169,0.615955,0.610996,0.614777,0.7023,0.4702,SELL,0.4231
2026-01-01T00:50:00Z,BTC,5m,0.614777,0.615701,0.614490,0.615414,0.5495,0.5186,SELL,0.4231
2026-01-01T00:55:00Z,BTC,5m,0.615414,0.616288,0.612601,0.613472,0.3580,0.4643,SELL,0.4231
2026-01-01T01:00:00Z,BTC,5m,0.613472,0.614883,0.608931,0.610336,0.2622,0.4744,SELL,0.4231
2026-01-01T01:05:00Z,BTC,5m,0.610336,0.613154,0.609462,0.612277,0.6453,0.4993,SELL,0.4231
2026-01-01T01:10:00Z,BTC,5m,0.612277,0.613338,0.608865,0.609921,0.3393,0.5265,SELL,0.4231
2026-01-01T01:15:00Z,BTC,5m,0.609921,0.611449,0.605005,0.606525,0.2144,0.5269,SELL,0.4231
2026-01-01T01:20:00Z,BTC,5m,0.606525,0.607097,0.604682,0.605253,0.4168,0.5345,SELL,0.4231
2026-01-01T01:25:00Z,BTC,5m,0.605253,0.608706,0.604183,0.607632,0.7071,0.5317,SELL,0.4231
2026-01-01T01:30:00Z,BTC,5m,0.607632,0.608708,0.607298,0.608374,0.5391,0.5052,SELL,0.4231
2026-01-01T01:35:00Z,BTC,5m,0.608374,0.608517,0.608329,0.608473,0.5153,0.4718,SELL,0.4231
2026-01-01T01:40:00Z,BTC,5m,0.608473,0.609669,0.604623,0.605814,0.3168,0.5082,SELL,0.4231
2026-01-01T01:45:00Z,BTC,5m,0.605814,0.606881,0.602383,0.603445,0.3342,0.5021,SELL,0.4231
2026-01-01T01:50:00Z,BTC,5m,0.603445,0.604980,0.598508,0.600034,0.2360,0.5322,SELL,0.4231
2026-01-01T01:55:00Z,BTC,5m,0.600034,0.601653,0.599532,0.601150,0.5752,0.4698,SELL,0.4231
2026-01-01T02:00:00Z,BTC,5m,0.601150,0.601498,0.600030,0.600377,0.4387,0.5119,SELL,0.4231
2026-01-01T02:05:00Z,BTC,5m,0.600377,0.600875,0.598775,0.599272,0.3921,0.4950,SELL,0.4231
2026-01-01T02:10:00Z,BTC,5m,0.599272,0.601595,0.598551,0.600873,0.6573,0.5278,SELL,0.4231
2026-01-01T02:15:00Z,BTC,5m,0.600873,0.602236,0.596487,0.597843,0.2888,0.5300,SELL,0.4231
2026-01-01T02:20:00Z,BTC,5m,0.597843,0.601871,0.596595,0.600617,0.7097,0.5219,SELL,0.4231
2026-01-01T02:25:00Z,BTC,5m,0.600617,0.600892,0.599731,0.600006,0.4258,0.4700,SELL,0.4231
2026-01-01T02:30:00Z,BTC,5m,0.600006,0.603951,0.598783,0.602723,0.7178,0.5222,SELL,0.4231
2026-01-01T02:35:00Z,BTC,5m,0.602723,0.606399,0.601583,0.605255,0.6800,0.5011,SELL,0.4231
2026-01-01T02:40:00Z,BTC,5m,0.605255,0.606066,0.602642,0.603451,0.3407,0.5016,SELL,0.4231
2026-01-01T02:45:00Z,BTC,5m,0.603451,0.607794,0.602105,0.606442,0.7555,0.5381,SELL,0.4231
2026-01-01T02:50:00Z,BTC,5m,0.606442,0.607999,0.601431,0.602980,0.2136,0.5344,SELL,0.4231
2026-01-01T02:55:00Z,BTC,5m,0.602980,0.606784,0.601801,0.605600,0.7353,0.4689,SELL,0.4231
2026-01-01T03:00:00Z,BTC,5m,0.605600,0.608848,0.604593,0.607838,0.6750,0.4830,SELL,0.4231
2026-01-01T03:05:00Z,BTC,5m,0.607838,0.608388,0.606067,0.606616,0.4075,0.5114,SELL,0.4231
2026-01-01T03:10:00Z,BTC,5m,0.606616,0.608557,0.606014,0.607954,0.6227,0.4715,SELL,0.4231
2026-01-01T03:15:00Z,BTC,5m,0.607954,0.609123,0.604193,0.605357,0.2783,0.5120,SELL,0.4231
2026-01-01T03:20:00Z,BTC,5m,0.605357,0.606839,0.600590,0.602064,0.2404,0.4783,SELL,0.4231
2026-01-01T03:25:00Z,BTC,5m,0.602064,0.602300,0.601304,0.601539,0.4717,0.5284,SELL,0.4231
2026-01-01T03:30:00Z,BTC,5m,0.601539,0.605819,0.600213,0.604486,0.7315,0.5074,SELL,0.4231
2026-01-01T03:35:00Z,BTC,5m,0.604486,0.605126,0.602427,0.603065,0.3997,0.4803,SELL,0.4231
2026-01-01T03:40:00Z,BTC,5m,0.603065,0.604584,0.598181,0.599691,0.2567,0.5040,SELL,0.4231
2026-01-01T03:45:00Z,BTC,5m,0.599691,0.600498,0.599441,0.600248,0.5237,0.5210,SELL,0.4231
2026-01-01T03:50:00Z,BTC,5m,0.600248,0.601496,0.599860,0.601108,0.5532,0.5119,SELL,0.4231
2026-01-01T03:55:00Z,BTC,5m,0.601108,0.602070,0.598012,0.598971,0.3140,0.4666,SELL,0.4231
2026-01-01T04:00:00Z,BTC,5m,0.598971,0.599547,0.598792,0.599368,0.5298,0.4819,SELL,0.4231
