timestamp_utc,instrument,timeframe,open,high,low,close,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-01-01T00:00:00Z,BTC,5m,42686.50,43016.50,42686.50,43016.50,0.6881,0.5314,SELL,0.5385
2026-01-01T00:05:00Z,BTC,5m,43016.50,43016.50,43000.70,43000.70,0.4805,0.4761,SELL,0.5385
2026-01-01T00:10:00Z,BTC,5m,43300.90,43615.70,43300.90,43615.70,0.6807,0.4713,SELL,0.5385
2026-01-01T00:15:00Z,BTC,5m,31930.70,32413.90,31930.70,32413.90,0.7621,0.5126,SELL,0.5385
2026-01-01T00:20:00Z,BTC,5m,245248.10,245248.10,245020.70,245020.70,0.3960,0.4712,SELL,0.5385
2026-01-01T00:25:00Z,BTC,5m,-3794508.50,-3794199.50,-3794508.50,-3794199.50,0.6649,0.5202,SELL,0.5385
2026-01-01T00:30:00Z,BTC,5m,72950984.30,72951112.70,72950984.30,72951112.70,0.5737,0.4685,SELL,0.5385
2026-01-01T00:35:00Z,BTC,5m,-1385209819.10,-1385209443.30,-1385209819.10,-1385209443.30,0.6834,0.4606,SELL,0.5385
2026-01-01T00:40:00Z,BTC,5m,26319841120.71,26319841485.91,26319841120.71,26319841485.91,0.7181,0.4804,SELL,0.5385
2026-01-01T00:45:00Z,BTC,5m,-500076126169.14,-500076125801.94,-500076126169.14,-500076125801.94,0.7023,0.4702,SELL,0.5385
2026-01-01T00:50:00Z,BTC,5m,9501447252667.33,9501447252756.73,9501447252667.33,9501447252756.73,0.5495,0.5186,SELL,0.5385
2026-01-01T00:55:00Z,BTC,5m,-180527496939858.09,-180527496939858.09,-180527496940130.28,-180527496940130.28,0.3580,0.4643,SELL,0.5385
2026-01-01T01:00:00Z,BTC,5m,3430022442724722.50,3430022442724722.50,3430022442724282.00,3430022442724282.00,0.2622,0.4744,SELL,0.5385
2026-01-01T01:05:00Z,BTC,5m,-65170426410899552.00,-65170426410899280.00,-65170426410899552.00,-65170426410899280.00,0.6453,0.4993,SELL,0.5385
2026-01-01T01:10:00Z,BTC,5m,1238238101807948544.00,1238238101807948544.00,1238238101807948032.00,1238238101807948032.00,0.3393,0.5265,SELL,0.5385
2026-01-01T01:15:00Z,BTC,5m,-23526523934350151680.00,-23526523934350151680.00,-23526523934350151680.00,-23526523934350151680.00,0.2144,0.5269,SELL,0.5385
