timestamp_utc,instrument,timeframe,open,high,low,close,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-01-01T00:00:00Z,BTC,1h,43000.00,43132.59,42992.48,43112.38,0.6881,0.5314,SELL,0.4231
2026-01-01T01:00:00Z,BTC,1h,43112.38,43114.78,43013.08,43025.33,0.2622,0.4744,SELL,0.4231
2026-01-01T02:00:00Z,BTC,1h,43025.33,43065.81,42998.66,43057.43,0.4387,0.5119,SELL,0.4231
2026-01-01T03:00:00Z,BTC,1h,43057.43,43080.21,43008.20,43010.35,0.6750,0.4830,SELL,0.4231
2026-01-01T04:00:00Z,BTC,1h,43010.35,43019.13,42973.83,42989.53,0.5298,0.4819,SELL,0.4231
2026-01-01T05:00:00Z,BTC,1h,42989.53,43005.92,42942.56,42946.23,0.5487,0.5008,SELL,0.4231
2026-01-01T06:00:00Z,BTC,1h,42946.23,43007.58,42941.05,43000.38,0.6993,0.5243,SELL,0.4231
2026-01-01T07:00:00Z,BTC,1h,43000.38,43032.58,42976.99,42984.55,0.5219,0.5373,SELL,0.4231
2026-01-01T08:00:00Z,BTC,1h,42984.55,43063.29,42984.01,43061.06,0.6780,0.5368,SELL,0.4231
2026-01-01T09:00:00Z,BTC,1h,43061.06,43072.84,43012.17,43016.46,0.3018,0.5016,SELL,0.4231
2026-01-01T10:00:00Z,BTC,1h,43016.46,43054.67,42994.52,43016.56,0.3017,0.5080,SELL,0.4231
2026-01-01T11:00:00Z,BTC,1h,43016.56,43031.28,42960.35,42963.51,0.6293,0.4714,SELL,0.4231
2026-01-01T12:00:00Z,BTC,1h,42963.51,42970.73,42929.33,42954.35,0.4101,0.4777,SELL,0.4231
2026-01-01T13:00:00Z,BTC,1h,42954.35,42959.81,42834.05,42840.10,0.4531,0.4960,SELL,0.4231
2026-01-01T14:00:00Z,BTC,1h,42840.10,42965.32,42825.48,42938.25,0.3495,0.4892,SELL,0.4231
2026-01-01T15:00:00Z,BTC,1h,42938.25,43043.04,42935.57,43035.81,0.6758,0.5269,SELL,0.4231
2026-01-01T16:00:00Z,BTC,1h,43035.81,43071.57,43019.98,43049.79,0.4371,0.4911,SELL,0.4231
2026-01-01T17:00:00Z,BTC,1h,43049.79,43094.97,43038.82,43058.00,0.6887,0.4804,SELL,0.4231
2026-01-01T18:00:00Z,BTC,1h,43058.00,43109.35,43031.79,43050.45,0.5509,0.5298,SELL,0.4231
2026-01-01T19:00:00Z,BTC,1h,43050.45,43068.28,42999.27,43003.25,0.4883,0.4960,SELL,0.4231
