timestamp_utc,instrument,timeframe,open,high,low,close,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-01-01T00:00:00Z,BTC,5m,0.350000,0.351750,0.348250,0.350000,0.6881,0.5314,SELL,0.4231
2026-01-01T00:05:00Z,BTC,5m,0.350000,0.350145,0.349534,0.349679,0.4805,0.4761,SELL,0.4231
2026-01-01T00:10:00Z,BTC,5m,0.349679,0.359008,0.346800,0.356076,0.6807,0.4713,SELL,0.4231
2026-01-01T00:15:00Z,BTC,5m,0.356076,0.370697,0.351578,0.366072,0.7621,0.5126,SELL,0.4231
2026-01-01T00:20:00Z,BTC,5m,0.366072,0.368247,0.359092,0.361239,0.3960,0.4712,SELL,0.4231
2026-01-01T00:25:00Z,BTC,5m,0.361239,0.370691,0.358321,0.367722,0.6649,0.5202,SELL,0.4231
2026-01-01T00:30:00Z,BTC,5m,0.367722,0.371706,0.366488,0.370463,0.5737,0.4685,SELL,0.4231
2026-01-01T00:35:00Z,BTC,5m,0.370463,0.382261,0.366826,0.378545,0.6834,0.4606,SELL,0.4231
2026-01-01T00:40:00Z,BTC,5m,0.378545,0.390253,0.374935,0.386566,0.7181,0.4804,SELL,0.4231
2026-01-01T00:45:00Z,BTC,5m,0.386566,0.398583,0.382861,0.394799,0.7023,0.4702,SELL,0.4231
2026-01-01T00:50:00Z,BTC,5m,0.394799,0.397771,0.393878,0.396846,0.5495,0.5186,SELL,0.4231
2026-01-01T00:55:00Z,BTC,5m,0.396846,0.399663,0.387810,0.390584,0.3580,0.4643,SELL,0.4231
2026-01-01T01:00:00Z,BTC,5m,0.390584,0.395076,0.376222,0.380600,0.2622,0.4744,SELL,0.4231
2026-01-01T01:05:00Z,BTC,5m,0.380600,0.389423,0.377875,0.386655,0.6453,0.4993,SELL,0.4231
2026-01-01T01:10:00Z,BTC,5m,0.386655,0.390003,0.375930,0.379214,0.3393,0.5265,SELL,0.4231
2026-01-01T01:15:00Z,BTC,5m,0.379214,0.383964,0.364039,0.368657,0.2144,0.5269,SELL,0.4231
2026-01-01T01:20:00Z,BTC,5m,0.368657,0.370396,0.363071,0.364792,0.4168,0.5345,SELL,0.4231
2026-01-01T01:25:00Z,BTC,5m,0.364792,0.375249,0.361566,0.371960,0.7071,0.5317,SELL,0.4231
2026-01-01T01:30:00Z,BTC,5m,0.371960,0.375259,0.370938,0.374231,0.5391,0.5052,SELL,0.4231
2026-01-01T01:35:00Z,BTC,5m,0.374231,0.374672,0.374094,0.374535,0.5153,0.4718,SELL,0.4231
2026-01-01T01:40:00Z,BTC,5m,0.374535,0.378217,0.362752,0.366354,0.3168,0.5082,SELL,0.4231
2026-01-01T01:45:00Z,BTC,5m,0.366354,0.369577,0.356029,0.359190,0.3342,0.5021,SELL,0.4231
2026-01-01T01:50:00Z,BTC,5m,0.359190,0.363758,0.344598,0.349038,0.2360,0.5322,SELL,0.4231
2026-01-01T01:55:00Z,BTC,5m,0.349038,0.353757,0.347577,0.352283,0.5752,0.4698,SELL,0.4231
2026-01-01T02:00:00Z,BTC,5m,0.352283,0.353302,0.349007,0.350019,0.4387,0.5119,SELL,0.4231
2026-01-01T02:05:00Z,BTC,5m,0.350019,0.351469,0.345361,0.346797,0.3921,0.4950,SELL,0.4231
2026-01-01T02:10:00Z,BTC,5m,0.346797,0.353542,0.344713,0.351429,0.6573,0.5278,SELL,0.4231
2026-01-01T02:15:00Z,BTC,5m,0.351429,0.355416,0.338685,0.342571,0.2888,0.5300,SELL,0.4231
2026-01-01T02:20:00Z,BTC,5m,0.342571,0.354176,0.338995,0.350517,0.7097,0.5219,SELL,0.4231
2026-01-01T02:25:00Z,BTC,5m,0.350517,0.351320,0.347934,0.348733,0.4258,0.4700,SELL,0.4231
2026-01-01T02:30:00Z,BTC,5m,0.348733,0.360263,0.345180,0.356629,0.7178,0.5222,SELL,0.4231
2026-01-01T02:35:00Z,BTC,5m,0.356629,0.367562,0.353258,0.364120,0.6800,0.5011,SELL,0.4231
2026-01-01T02:40:00Z,BTC,5m,0.364120,0.366562,0.356290,0.358695,0.3407,0.5016,SELL,0.4231
2026-01-01T02:45:00Z,BTC,5m,0.358695,0.371681,0.354695,0.367583,0.7555,0.5381,SELL,0.4231
2026-01-01T02:50:00Z,BTC,5m,0.367583,0.372304,0.352506,0.357092,0.2136,0.5344,SELL,0.4231
2026-01-01T02:55:00Z,BTC,5m,0.357092,0.368417,0.353601,0.364850,0.7353,0.4689,SELL,0.4231
2026-01-01T03:00:00Z,BTC,5m,0.364850,0.374680,0.361817,0.371591,0.6750,0.4830,SELL,0.4231
2026-01-01T03:05:00Z,BTC,5m,0.371591,0.373272,0.366191,0.367855,0.4075,0.5114,SELL,0.4231
2026-01-01T03:10:00Z,BTC,5m,0.367855,0.373759,0.366029,0.371913,0.6227,0.4715,SELL,0.4231
2026-01-01T03:15:00Z,BTC,5m,0.371913,0.375487,0.360471,0.363969,0.2783,0.5120,SELL,0.4231
2026-01-01T03:20:00Z,BTC,5m,0.363969,0.368424,0.349737,0.354070,0.2404,0.4783,SELL,0.4231
2026-01-01T03:25:00Z,BTC,5m,0.354070,0.354764,0.351836,0.352527,0.4717,0.5284,SELL,0.4231
2026-01-01T03:30:00Z,BTC,5m,0.352527,0.365144,0.348641,0.361163,0.7315,0.5074,SELL,0.4231
2026-01-01T03:35:00Z,BTC,5m,0.361163,0.363073,0.355030,0.356918,0.3997,0.4803,SELL,0.4231
2026-01-01T03:40:00Z,BTC,5m,0.356918,0.361411,0.342566,0.346933,0.2567,0.5040,SELL,0.4231
2026-01-01T03:45:00Z,BTC,5m,0.346933,0.349270,0.346209,0.348542,0.5237,0.5210,SELL,0.4231
2026-01-01T03:50:00Z,BTC,5m,0.348542,0.352174,0.347417,0.351042,0.5532,0.5119,SELL,0.4231
2026-01-01T03:55:00Z,BTC,5m,0.351042,0.353850,0.342041,0.344800,0.3140,0.4666,SELL,0.4231
2026-01-01T04:00:00Z,BTC,5m,0.344800,0.346458,0.344286,0.345942,0.5298,0.4819,SELL,0.4231
2026-01-01T04:05:00Z,BTC,5m,0.345942,0.346185,0.345161,0.345404,0.4685,0.4973,SELL,0.4231
2026-01-01T04:10:00Z,BTC,5m,0.345404,0.346329,0.342428,0.343348,0.4512,0.5177,SELL,0.4231
2026-01-01T04:15:00Z,BTC,5m,0.343348,0.347520,0.342056,0.346218,0.5631,0.5047,SELL,0.4231
2026-01-01T04:20:00Z,BTC,5m,0.346218,0.346510,0.346127,0.346419,0.4971,0.5021,SELL,0.4231
2026-01-01T04:25:00Z,BTC,5m,0.346419,0.346843,0.345054,0.345477,0.4953,0.5054,SELL,0.4231
2026-01-01T04:30:00Z,BTC,5m,0.345477,0.346989,0.340617,0.342115,0.4156,0.5213,SELL,0.4231
2026-01-01T04:35:00Z,BTC,5m,0.342115,0.346193,0.329084,0.333054,0.2447,0.4779,SELL,0.4231
2026-01-01T04:40:00Z,BTC,5m,0.333054,0.333251,0.332993,0.333190,0.5220,0.5079,SELL,0.4231
2026-01-01T04:45:00Z,BTC,5m,0.333190,0.338191,0.331643,0.336628,0.5967,0.5239,SELL,0.4231
2026-01-01T04:50:00Z,BTC,5m,0.336628,0.337859,0.332669,0.333891,0.4170,0.4625,SELL,0.4231
2026-01-01T04:55:00Z,BTC,5m,0.333891,0.337481,0.332779,0.336361,0.5791,0.4668,SELL,0.4231
2026-01-01T05:00:00Z,BTC,5m,0.336361,0.338816,0.335601,0.338051,0.5487,0.5008,SELL,0.4231
2026-01-01T05:05:00Z,BTC,5m,0.338051,0.340979,0.328673,0.331545,0.3038,0.5158,SELL,0.4231
2026-01-01T05:10:00Z,BTC,5m,0.331545,0.343453,0.327877,0.339695,0.7297,0.5255,SELL,0.4231
2026-01-01T05:15:00Z,BTC,5m,0.339695,0.340779,0.336209,0.337285,0.4594,0.5141,SELL,0.4231
2026-01-01T05:20:00Z,BTC,5m,0.337285,0.338516,0.333331,0.334551,0.4522,0.4931,SELL,0.4231
2026-01-01T05:25:00Z,BTC,5m,0.334551,0.335217,0.332410,0.333073,0.4821,0.5240,SELL,0.4231
2026-01-01T05:30:00Z,BTC,5m,0.333073,0.334804,0.327514,0.329225,0.3751,0.5091,SELL,0.4231
2026-01-01T05:35:00Z,BTC,5m,0.329225,0.332135,0.319906,0.322759,0.3200,0.5383,SELL,0.4231
2026-01-01T05:40:00Z,BTC,5m,0.322759,0.331972,0.319917,0.329074,0.6590,0.4966,SELL,0.4231
2026-01-01T05:45:00Z,BTC,5m,0.329074,0.338009,0.326318,0.335201,0.6713,0.5363,SELL,0.4231
2026-01-01T05:50:00Z,BTC,5m,0.335201,0.339392,0.321812,0.325886,0.2172,0.5088,SELL,0.4231
2026-01-01T05:55:00Z,BTC,5m,0.325886,0.328863,0.316356,0.319272,0.2882,0.4976,SELL,0.4231
2026-01-01T06:00:00Z,BTC,5m,0.319272,0.329212,0.316208,0.326082,0.6993,0.5243,SELL,0.4231
2026-01-01T06:05:00Z,BTC,5m,0.326082,0.336608,0.322837,0.333292,0.7251,0.5110,SELL,0.4231
2026-01-01T06:10:00Z,BTC,5m,0.333292,0.339857,0.331263,0.337801,0.6545,0.4847,SELL,0.4231
2026-01-01T06:15:00Z,BTC,5m,0.337801,0.342116,0.324019,0.328212,0.2324,0.5129,SELL,0.4231
2026-01-01T06:20:00Z,BTC,5m,0.328212,0.330602,0.320548,0.322900,0.3355,0.4721,SELL,0.4231
2026-01-01T06:25:00Z,BTC,5m,0.322900,0.330188,0.320648,0.327902,0.6354,0.4770,SELL,0.4231
2026-01-01T06:30:00Z,BTC,5m,0.327902,0.330041,0.321040,0.323148,0.3902,0.4906,SELL,0.4231
2026-01-01T06:35:00Z,BTC,5m,0.323148,0.332454,0.320277,0.329527,0.6646,0.5299,SELL,0.4231
2026-01-01T06:40:00Z,BTC,5m,0.329527,0.339222,0.326537,0.336171,0.7205,0.4915,SELL,0.4231
2026-01-01T06:45:00Z,BTC,5m,0.336171,0.338548,0.328550,0.330889,0.3782,0.5002,SELL,0.4231
2026-01-01T06:50:00Z,BTC,5m,0.330889,0.339652,0.328185,0.336898,0.6604,0.5299,SELL,0.4231
2026-01-01T06:55:00Z,BTC,5m,0.336898,0.340474,0.335791,0.339359,0.5568,0.5232,SELL,0.4231
2026-01-01T07:00:00Z,BTC,5m,0.339359,0.339628,0.339275,0.339544,0.5219,0.5373,SELL,0.4231
