timestamp_utc,instrument,timeframe,open,high,low,close,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-01-01T00:00:00Z,BTC,5m,2.00000000,2.00200000,1.99800000,2.00000000,0.6881,0.5314,SELL,0.3462
2026-01-01T00:05:00Z,BTC,5m,2.00000000,2.00006611,1.99971351,1.99977962,0.4805,0.4761,SELL,0.3462
2026-01-01T00:10:00Z,BTC,5m,1.99977962,2.00549012,1.99846248,2.00417009,0.6807,0.4713,SELL,0.3462
2026-01-01T00:15:00Z,BTC,5m,2.00417009,2.01295379,2.00214466,2.01092154,0.7621,0.5126,SELL,0.3462
2026-01-01T00:20:00Z,BTC,5m,2.01092154,2.01187740,2.00678095,2.00773531,0.3960,0.4712,SELL,0.3462
2026-01-01T00:25:00Z,BTC,5m,2.00773531,2.01335911,2.00643815,2.01205916,0.6649,0.5202,SELL,0.3462
2026-01-01T00:30:00Z,BTC,5m,2.01205916,2.01439956,2.01151918,2.01385909,0.5737,0.4685,SELL,0.3462
2026-01-01T00:35:00Z,BTC,5m,2.01385909,2.02071677,2.01227751,2.01913104,0.6834,0.4606,SELL,0.3462
2026-01-01T00:40:00Z,BTC,5m,2.01913104,2.02580971,2.01759072,2.02426547,0.7181,0.4804,SELL,0.3462
2026-01-01T00:45:00Z,BTC,5m,2.02426547,2.03099495,2.02271342,2.02943894,0.7023,0.4702,SELL,0.3462
2026-01-01T00:50:00Z,BTC,5m,2.02943894,2.03108008,2.02906027,2.03070118,0.5495,0.5186,SELL,0.3462
2026-01-01T00:55:00Z,BTC,5m,2.03070118,2.03185473,2.02570463,2.02685600,0.3580,0.4643,SELL,0.3462
2026-01-01T01:00:00Z,BTC,5m,2.02685600,2.02872111,2.01877957,2.02063896,0.2622,0.4744,SELL,0.3462
2026-01-01T01:05:00Z,BTC,5m,2.02063896,2.02565582,2.01948173,2.02449638,0.6453,0.4993,SELL,0.3462
2026-01-01T01:10:00Z,BTC,5m,2.02449638,2.02589893,2.01842191,2.01982122,0.3393,0.5265,SELL,0.3462
2026-01-01T01:15:00Z,BTC,5m,2.01982122,2.02184548,2.01105622,2.01307371,0.2144,0.5269,SELL,0.3462
2026-01-01T01:20:00Z,BTC,5m,2.01307371,2.01383353,2.00978211,2.01054098,0.4168,0.5345,SELL,0.3462
2026-01-01T01:25:00Z,BTC,5m,2.01054098,2.01670730,2.00911875,2.01528172,0.7071,0.5317,SELL,0.3462
2026-01-01T01:30:00Z,BTC,5m,2.01528172,2.01720172,2.01483872,2.01675840,0.5391,0.5052,SELL,0.3462
2026-01-01T01:35:00Z,BTC,5m,2.01675840,2.01701403,2.01669940,2.01695503,0.5153,0.4718,SELL,0.3462
2026-01-01T01:40:00Z,BTC,5m,2.01695503,2.01854116,2.01008594,2.01166792,0.3168,0.5082,SELL,0.3462
2026-01-01T01:45:00Z,BTC,5m,2.01166792,2.01308408,2.00553455,2.00694739,0.3342,0.5021,SELL,0.3462
2026-01-01T01:50:00Z,BTC,5m,2.00694739,2.00898942,1.99810553,2.00014063,0.2360,0.5322,SELL,0.3462
