timestamp_utc,instrument,timeframe,open,high,low,close,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-01-01T00:00:00Z,BTC,5m,43000.00,43022.56,42992.48,43016.50,0.6881,0.5314,BUY,0.5385
2026-01-01T00:05:00Z,BTC,5m,43016.50,43018.12,43010.99,43015.71,0.4805,0.4761,BUY,0.5385
2026-01-01T00:10:00Z,BTC,5m,43015.71,43032.67,43011.15,43031.45,0.6807,0.4713,BUY,0.5385
2026-01-01T00:15:00Z,BTC,5m,43031.45,43060.30,43025.91,43055.61,0.7621,0.5126,BUY,0.5385
2026-01-01T00:20:00Z,BTC,5m,43055.61,43061.27,43038.04,43044.24,0.3960,0.4712,BUY,0.5385
2026-01-01T00:25:00Z,BTC,5m,43044.24,43067.48,43042.23,43059.69,0.6649,0.5202,BUY,0.5385
2026-01-01T00:30:00Z,BTC,5m,43059.69,43071.74,43057.36,43066.11,0.5737,0.4685,BUY,0.5385
2026-01-01T00:35:00Z,BTC,5m,43066.11,43090.96,43065.60,43084.90,0.6834,0.4606,BUY,0.5385
2026-01-01T00:40:00Z,BTC,5m,43084.90,43105.50,43080.06,43103.16,0.7181,0.4804,BUY,0.5385
2026-01-01T00:45:00Z,BTC,5m,43103.16,43123.04,43102.60,43121.52,0.7023,0.4702,BUY,0.5385
2026-01-01T00:50:00Z,BTC,5m,43121.52,43129.47,43115.89,43125.99,0.5495,0.5186,BUY,0.5385
2026-01-01T00:55:00Z,BTC,5m,43125.99,43132.59,43105.57,43112.38,0.3580,0.4643,BUY,0.5385
2026-01-01T01:00:00Z,BTC,5m,43112.38,43114.78,43084.31,43090.34,0.2622,0.4744,BUY,0.5385
2026-01-01T01:05:00Z,BTC,5m,43090.34,43107.75,43090.06,43104.05,0.6453,0.4993,BUY,0.5385
2026-01-01T01:10:00Z,BTC,5m,43104.05,43104.45,43086.59,43087.46,0.3393,0.5265,BUY,0.5385
2026-01-01T01:15:00Z,BTC,5m,43087.46,43090.60,43057.65,43063.47,0.2144,0.5269,BUY,0.5385
