timestamp_utc,instrument,timeframe,open,high,low,close,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-01-01T00:00:00Z,BTC,5m,18.000000,18.090000,17.910000,18.000000,0.6881,0.5314,SELL,0.4231
2026-01-01T00:05:00Z,BTC,5m,18.000000,18.002975,17.990415,17.993389,0.4805,0.4761,SELL,0.4231
2026-01-01T00:10:00Z,BTC,5m,17.993389,18.184759,17.934132,18.125069,0.6807,0.4713,SELL,0.4231
2026-01-01T00:15:00Z,BTC,5m,18.125069,18.421210,18.033482,18.328595,0.7621,0.5126,SELL,0.4231
2026-01-01T00:20:00Z,BTC,5m,18.328595,18.372157,18.188461,18.231792,0.3960,0.4712,SELL,0.4231
2026-01-01T00:25:00Z,BTC,5m,18.231792,18.421990,18.172896,18.362672,0.6649,0.5202,SELL,0.4231
2026-01-01T00:30:00Z,BTC,5m,18.362672,18.442141,18.338032,18.417428,0.5737,0.4685,SELL,0.4231
2026-01-01T00:35:00Z,BTC,5m,18.417428,18.651092,18.345107,18.578140,0.6834,0.4606,SELL,0.4231
2026-01-01T00:40:00Z,BTC,5m,18.578140,18.807078,18.507277,18.735614,0.7181,0.4804,SELL,0.4231
2026-01-01T00:45:00Z,BTC,5m,18.735614,18.967661,18.663789,18.895224,0.7023,0.4702,SELL,0.4231
2026-01-01T00:50:00Z,BTC,5m,18.895224,18.952063,18.877596,18.934398,0.5495,0.5186,SELL,0.4231
2026-01-01T00:55:00Z,BTC,5m,18.934398,18.988177,18.761450,18.814889,0.3580,0.4643,SELL,0.4231
2026-01-01T01:00:00Z,BTC,5m,18.814889,18.901456,18.536835,18.622517,0.2622,0.4744,SELL,0.4231
2026-01-01T01:05:00Z,BTC,5m,18.622517,18.794685,18.569192,18.741020,0.6453,0.4993,SELL,0.4231
2026-01-01T01:10:00Z,BTC,5m,18.741020,18.805937,18.532340,18.596758,0.3393,0.5265,SELL,0.4231
2026-01-01T01:15:00Z,BTC,5m,18.596758,18.689945,18.297524,18.389674,0.2144,0.5269,SELL,0.4231
2026-01-01T01:20:00Z,BTC,5m,18.389674,18.424379,18.277991,18.312551,0.4168,0.5345,SELL,0.4231
2026-01-01T01:25:00Z,BTC,5m,18.312551,18.521763,18.247781,18.456484,0.7071,0.5317,SELL,0.4231
2026-01-01T01:30:00Z,BTC,5m,18.456484,18.521899,18.436199,18.501563,0.5391,0.5052,SELL,0.4231
2026-01-01T01:35:00Z,BTC,5m,18.501563,18.510283,18.498857,18.507576,0.5153,0.4718,SELL,0.4231
2026-01-01T01:40:00Z,BTC,5m,18.507576,18.580348,18.273725,18.345861,0.3168,0.5082,SELL,0.4231
2026-01-01T01:45:00Z,BTC,5m,18.345861,18.410436,18.138292,18.202362,0.3342,0.5021,SELL,0.4231
2026-01-01T01:50:00Z,BTC,5m,18.202362,18.294964,17.905022,17.996578,0.2360,0.5322,SELL,0.4231
2026-01-01T01:55:00Z,BTC,5m,17.996578,18.093749,17.966456,18.063515,0.5752,0.4698,SELL,0.4231
2026-01-01T02:00:00Z,BTC,5m,18.063515,18.084410,17.996240,18.017081,0.4387,0.5119,SELL,0.4231
2026-01-01T02:05:00Z,BTC,5m,18.017081,18.046934,17.920999,17.950742,0.3921,0.4950,SELL,0.4231
2026-01-01T02:10:00Z,BTC,5m,17.950742,18.090036,17.907584,18.046647,0.6573,0.5278,SELL,0.4231
2026-01-01T02:15:00Z,BTC,5m,18.046647,18.128531,17.783628,17.864685,0.2888,0.5300,SELL,0.4231
2026-01-01T02:20:00Z,BTC,5m,17.864685,18.105731,17.790093,18.030446,0.7097,0.5219,SELL,0.4231
2026-01-01T02:25:00Z,BTC,5m,18.030446,18.046967,17.977246,17.993733,0.4258,0.4700,SELL,0.4231
2026-01-01T02:30:00Z,BTC,5m,17.993733,18.230698,17.920398,18.156699,0.7178,0.5222,SELL,0.4231
2026-01-01T02:35:00Z,BTC,5m,18.156699,18.378481,18.088049,18.309254,0.6800,0.5011,SELL,0.4231
2026-01-01T02:40:00Z,BTC,5m,18.309254,18.358358,18.151322,18.200134,0.3407,0.5016,SELL,0.4231
2026-01-01T02:45:00Z,BTC,5m,18.200134,18.462498,18.118960,18.380520,0.7555,0.5381,SELL,0.4231
2026-01-01T02:50:00Z,BTC,5m,18.380520,18.474942,18.077348,18.170692,0.2136,0.5344,SELL,0.4231
2026-01-01T02:55:00Z,BTC,5m,18.170692,18.400266,18.099637,18.328593,0.7353,0.4689,SELL,0.4231
2026-01-01T03:00:00Z,BTC,5m,18.328593,18.525447,18.267640,18.464044,0.6750,0.4830,SELL,0.4231
2026-01-01T03:05:00Z,BTC,5m,18.464044,18.497454,18.356523,18.389799,0.4075,0.5114,SELL,0.4231
2026-01-01T03:10:00Z,BTC,5m,18.389799,18.507606,18.353288,18.470934,0.6227,0.4715,SELL,0.4231
2026-01-01T03:15:00Z,BTC,5m,18.470934,18.541946,18.242724,18.313129,0.2783,0.5120,SELL,0.4231
2026-01-01T03:20:00Z,BTC,5m,18.313129,18.402782,18.025226,18.113903,0.2404,0.4783,SELL,0.4231
2026-01-01T03:25:00Z,BTC,5m,18.113903,18.128109,18.068150,18.082332,0.4717,0.5284,SELL,0.4231
2026-01-01T03:30:00Z,BTC,5m,18.082332,18.340014,18.002604,18.259505,0.7315,0.5074,SELL,0.4231
2026-01-01T03:35:00Z,BTC,5m,18.259505,18.298137,18.135208,18.173657,0.3997,0.4803,SELL,0.4231
2026-01-01T03:40:00Z,BTC,5m,18.173657,18.265169,17.879813,17.970300,0.2567,0.5040,SELL,0.4231
2026-01-01T03:45:00Z,BTC,5m,17.970300,18.018667,17.955298,18.003637,0.5237,0.5210,SELL,0.4231
2026-01-01T03:50:00Z,BTC,5m,18.003637,18.078586,17.980398,18.055280,0.5532,0.5119,SELL,0.4231
2026-01-01T03:55:00Z,BTC,5m,18.055280,18.113064,17.869497,17.926870,0.3140,0.4666,SELL,0.4231
2026-01-01T04:00:00Z,BTC,5m,17.926870,17.961333,17.916179,17.950628,0.5298,0.4819,SELL,0.4231
2026-01-01T04:05:00Z,BTC,5m,17.950628,17.955661,17.934414,17.939444,0.4685,0.4973,SELL,0.4231
2026-01-01T04:10:00Z,BTC,5m,17.939444,17.958663,17.877561,17.896735,0.4512,0.5177,SELL,0.4231
2026-01-01T04:15:00Z,BTC,5m,17.896735,17.983593,17.869806,17.956575,0.5631,0.5047,SELL,0.4231
2026-01-01T04:20:00Z,BTC,5m,17.956575,17.962629,17.954697,17.960750,0.4971,0.5021,SELL,0.4231
2026-01-01T04:25:00Z,BTC,5m,17.960750,17.969543,17.932424,17.941208,0.4953,0.5054,SELL,0.4231
2026-01-01T04:30:00Z,BTC,5m,17.941208,17.972630,17.840083,17.871382,0.4156,0.5213,SELL,0.4231
2026-01-01T04:35:00Z,BTC,5m,17.871382,17.956584,17.597746,17.682045,0.2447,0.4779,SELL,0.4231
2026-01-01T04:40:00Z,BTC,5m,17.682045,17.686221,17.680749,17.684925,0.5220,0.5079,SELL,0.4231
2026-01-01T04:45:00Z,BTC,5m,17.684925,17.790899,17.652078,17.757917,0.5967,0.5239,SELL,0.4231
2026-01-01T04:50:00Z,BTC,5m,17.757917,17.783904,17.674269,17.700170,0.4170,0.4625,SELL,0.4231
2026-01-01T04:55:00Z,BTC,5m,17.700170,17.776191,17.676599,17.752550,0.5791,0.4668,SELL,0.4231
2026-01-01T05:00:00Z,BTC,5m,17.752550,17.804317,17.736495,17.788229,0.5487,0.5008,SELL,0.4231
2026-01-01T05:05:00Z,BTC,5m,17.788229,17.849856,17.590130,17.651282,0.3038,0.5158,SELL,0.4231
2026-01-01T05:10:00Z,BTC,5m,17.651282,17.903722,17.573177,17.824848,0.7297,0.5255,SELL,0.4231
2026-01-01T05:15:00Z,BTC,5m,17.824848,17.847607,17.751580,17.774274,0.4594,0.5141,SELL,0.4231
2026-01-01T05:20:00Z,BTC,5m,17.774274,17.800208,17.690791,17.716642,0.4522,0.4931,SELL,0.4231
2026-01-01T05:25:00Z,BTC,5m,17.716642,17.730738,17.671247,17.685318,0.4821,0.5240,SELL,0.4231
2026-01-01T05:30:00Z,BTC,5m,17.685318,17.722090,17.566999,17.603601,0.3751,0.5091,SELL,0.4231
2026-01-01T05:35:00Z,BTC,5m,17.603601,17.665836,17.403555,17.465301,0.3200,0.5383,SELL,0.4231
2026-01-01T05:40:00Z,BTC,5m,17.465301,17.663995,17.403787,17.602000,0.6590,0.4966,SELL,0.4231
2026-01-01T05:45:00Z,BTC,5m,17.602000,17.792502,17.543014,17.733078,0.6713,0.5363,SELL,0.4231
2026-01-01T05:50:00Z,BTC,5m,17.733078,17.821773,17.448268,17.535978,0.2172,0.5088,SELL,0.4231
2026-01-01T05:55:00Z,BTC,5m,17.535978,17.600042,17.330068,17.393612,0.2882,0.4976,SELL,0.4231
2026-01-01T06:00:00Z,BTC,5m,17.393612,17.609355,17.326834,17.542007,0.6993,0.5243,SELL,0.4231
2026-01-01T06:05:00Z,BTC,5m,17.542007,17.767593,17.472190,17.697158,0.7251,0.5110,SELL,0.4231
2026-01-01T06:10:00Z,BTC,5m,17.697158,17.836251,17.654063,17.792923,0.6545,0.4847,SELL,0.4231
2026-01-01T06:15:00Z,BTC,5m,17.792923,17.883839,17.501006,17.590889,0.2324,0.5129,SELL,0.4231
2026-01-01T06:20:00Z,BTC,5m,17.590889,17.642138,17.426086,17.477003,0.3355,0.4721,SELL,0.4231
2026-01-01T06:25:00Z,BTC,5m,17.477003,17.634345,17.428266,17.585306,0.6354,0.4770,SELL,0.4231
2026-01-01T06:30:00Z,BTC,5m,17.585306,17.631199,17.437696,17.483322,0.3902,0.4906,SELL,0.4231
2026-01-01T06:35:00Z,BTC,5m,17.483322,17.683987,17.421200,17.621373,0.6646,0.5299,SELL,0.4231
2026-01-01T06:40:00Z,BTC,5m,17.621373,17.827963,17.557419,17.763493,0.7205,0.4915,SELL,0.4231
2026-01-01T06:45:00Z,BTC,5m,17.763493,17.813732,17.601929,17.651852,0.3782,0.5002,SELL,0.4231
2026-01-01T06:50:00Z,BTC,5m,17.651852,17.838197,17.594151,17.780077,0.6604,0.5299,SELL,0.4231
2026-01-01T06:55:00Z,BTC,5m,17.780077,17.855460,17.756703,17.832018,0.5568,0.5232,SELL,0.4231
2026-01-01T07:00:00Z,BTC,5m,17.832018,17.837671,17.830264,17.835916,0.5219,0.5373,SELL,0.4231
2026-01-01T07:05:00Z,BTC,5m,17.835916,18.081055,17.760061,18.004483,0.7522,0.4934,SELL,0.4231
2026-01-01T07:10:00Z,BTC,5m,18.004483,18.074205,17.982863,18.052527,0.5422,0.5018,SELL,0.4231
2026-01-01T07:15:00Z,BTC,5m,18.052527,18.128879,17.807221,17.882856,0.2638,0.5189,SELL,0.4231
2026-01-01T07:20:00Z,BTC,5m,17.882856,17.909875,17.795883,17.822812,0.4353,0.5373,SELL,0.4231
2026-01-01T07:25:00Z,BTC,5m,17.822812,18.028381,17.759171,17.964235,0.7184,0.4941,SELL,0.4231
2026-01-01T07:30:00Z,BTC,5m,17.964235,17.965438,17.960360,17.961563,0.4773,0.5049,SELL,0.4231
2026-01-01T07:35:00Z,BTC,5m,17.961563,18.049763,17.678326,17.765563,0.2257,0.5024,SELL,0.4231
2026-01-01T07:40:00Z,BTC,5m,17.765563,17.871392,17.732762,17.838456,0.6123,0.4644,SELL,0.4231
2026-01-01T07:45:00Z,BTC,5m,17.838456,17.895279,17.655759,17.712181,0.3071,0.4979,SELL,0.4231
2026-01-01T07:50:00Z,BTC,5m,17.712181,17.721822,17.681124,17.690754,0.4732,0.4796,SELL,0.4231
2026-01-01T07:55:00Z,BTC,5m,17.690754,17.700423,17.687754,17.697422,0.5310,0.5307,SELL,0.4231
2026-01-01T08:00:00Z,BTC,5m,17.697422,17.907016,17.632539,17.841605,0.6780,0.5368,SELL,0.4231
2026-01-01T08:05:00Z,BTC,5m,17.841605,18.072052,17.770283,18.000097,0.7096,0.5145,SELL,0.4231
2026-01-01T08:10:00Z,BTC,5m,18.000097,18.051696,17.984093,18.035661,0.5659,0.4661,SELL,0.4231
