timestamp_utc,instrument,timeframe,open,high,low,close,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-01-01T00:00:00Z,BTC,5m,0.00001000,0.00001001,0.00000999,0.00001000,0.6881,0.5314,SELL,0.3462
2026-01-01T00:05:00Z,BTC,5m,0.00001000,0.00001000,0.00001000,0.00001000,0.4805,0.4761,SELL,0.3462
2026-01-01T00:10:00Z,BTC,5m,0.00001000,0.00001004,0.00000999,0.00001003,0.6807,0.4713,SELL,0.3462
2026-01-01T00:15:00Z,BTC,5m,0.00001003,0.00001009,0.00001001,0.00001007,0.7621,0.5126,SELL,0.3462
2026-01-01T00:20:00Z,BTC,5m,0.00001007,0.00001008,0.00001005,0.00001005,0.3960,0.4712,SELL,0.3462
2026-01-01T00:25:00Z,BTC,5m,0.00001005,0.00001009,0.00001004,0.00001008,0.6649,0.5202,SELL,0.3462
2026-01-01T00:30:00Z,BTC,5m,0.00001008,0.00001010,0.00001008,0.00001009,0.5737,0.4685,SELL,0.3462
2026-01-01T00:35:00Z,BTC,5m,0.00001009,0.00001014,0.00001008,0.00001013,0.6834,0.4606,SELL,0.3462
2026-01-01T00:40:00Z,BTC,5m,0.00001013,0.00001017,0.00001012,0.00001016,0.7181,0.4804,SELL,0.3462
2026-01-01T00:45:00Z,BTC,5m,0.00001016,0.00001021,0.00001015,0.00001020,0.7023,0.4702,SELL,0.3462
2026-01-01T00:50:00Z,BTC,5m,0.00001020,0.00001021,0.00001019,0.00001021,0.5495,0.5186,SELL,0.3462
2026-01-01T00:55:00Z,BTC,5m,0.00001021,0.00001021,0.00001017,0.00001018,0.3580,0.4643,SELL,0.3462
2026-01-01T01:00:00Z,BTC,5m,0.00001018,0.00001019,0.00001013,0.00001014,0.2622,0.4744,SELL,0.3462
2026-01-01T01:05:00Z,BTC,5m,0.00001014,0.00001017,0.00001013,0.00001016,0.6453,0.4993,SELL,0.3462
2026-01-01T01:10:00Z,BTC,5m,0.00001016,0.00001017,0.00001012,0.00001013,0.3393,0.5265,SELL,0.3462
2026-01-01T01:15:00Z,BTC,5m,0.00001013,0.00001015,0.00001007,0.00001009,0.2144,0.5269,SELL,0.3462
2026-01-01T01:20:00Z,BTC,5m,0.00001009,0.00001009,0.00001007,0.00001007,0.4168,0.5345,SELL,0.3462
2026-01-01T01:25:00Z,BTC,5m,0.00001007,0.00001011,0.00001006,0.00001010,0.7071,0.5317,SELL,0.3462
2026-01-01T01:30:00Z,BTC,5m,0.00001010,0.00001011,0.00001010,0.00001011,0.5391,0.5052,SELL,0.3462
2026-01-01T01:35:00Z,BTC,5m,0.00001011,0.00001011,0.00001011,0.00001011,0.5153,0.4718,SELL,0.3462
2026-01-01T01:40:00Z,BTC,5m,0.00001011,0.00001012,0.00001007,0.00001008,0.3168,0.5082,SELL,0.3462
2026-01-01T01:45:00Z,BTC,5m,0.00001008,0.00001009,0.00001004,0.00001005,0.3342,0.5021,SELL,0.3462
2026-01-01T01:50:00Z,BTC,5m,0.00001005,0.00001006,0.00000999,0.00001000,0.2360,0.5322,SELL,0.3462
2026-01-01T01:55:00Z,BTC,5m,0.00001000,0.00001002,0.00001000,0.00001002,0.5752,0.4698,SELL,0.3462
2026-01-01T02:00:00Z,BTC,5m,0.00001002,0.00001002,0.00001000,0.00001001,0.4387,0.5119,SELL,0.3462
2026-01-01T02:05:00Z,BTC,5m,0.00001001,0.00001001,0.00000999,0.00000999,0.3921,0.4950,SELL,0.3462
2026-01-01T02:10:00Z,BTC,5m,0.00000999,0.00001002,0.00000998,0.00001001,0.6573,0.5278,SELL,0.3462
2026-01-01T02:15:00Z,BTC,5m,0.00001001,0.00001002,0.00000996,0.00000997,0.2888,0.5300,SELL,0.3462
2026-01-01T02:20:00Z,BTC,5m,0.00000997,0.00001002,0.00000996,0.00001001,0.7097,0.5219,SELL,0.3462
2026-01-01T02:25:00Z,BTC,5m,0.00001001,0.00001001,0.00001000,0.00001000,0.4258,0.4700,SELL,0.3462
2026-01-01T02:30:00Z,BTC,5m,0.00001000,0.00001005,0.00000999,0.00001004,0.7178,0.5222,SELL,0.3462
2026-01-01T02:35:00Z,BTC,5m,0.00001004,0.00001008,0.00001003,0.00001007,0.6800,0.5011,SELL,0.3462
2026-01-01T02:40:00Z,BTC,5m,0.00001007,0.00001008,0.00001004,0.00001005,0.3407,0.5016,SELL,0.3462
2026-01-01T02:45:00Z,BTC,5m,0.00001005,0.00001010,0.00001003,0.00001009,0.7555,0.5381,SELL,0.3462
2026-01-01T02:50:00Z,BTC,5m,0.00001009,0.00001010,0.00001003,0.00001004,0.2136,0.5344,SELL,0.3462
2026-01-01T02:55:00Z,BTC,5m,0.00001004,0.00001009,0.00001003,0.00001007,0.7353,0.4689,SELL,0.3462
2026-01-01T03:00:00Z,BTC,5m,0.00001007,0.00001011,0.00001007,0.00001010,0.6750,0.4830,SELL,0.3462
2026-01-01T03:05:00Z,BTC,5m,0.00001010,0.00001011,0.00001008,0.00001009,0.4075,0.5114,SELL,0.3462
2026-01-01T03:10:00Z,BTC,5m,0.00001009,0.00001011,0.00001008,0.00001011,0.6227,0.4715,SELL,0.3462
2026-01-01T03:15:00Z,BTC,5m,0.00001011,0.00001012,0.00001006,0.00001007,0.2783,0.5120,SELL,0.3462
2026-01-01T03:20:00Z,BTC,5m,0.00001007,0.00001008,0.00001001,0.00001003,0.2404,0.4783,SELL,0.3462
2026-01-01T03:25:00Z,BTC,5m,0.00001003,0.00001003,0.00001002,0.00001002,0.4717,0.5284,SELL,0.3462
2026-01-01T03:30:00Z,BTC,5m,0.00001002,0.00001007,0.00001001,0.00001006,0.7315,0.5074,SELL,0.3462
2026-01-01T03:35:00Z,BTC,5m,0.00001006,0.00001007,0.00001004,0.00001004,0.3997,0.4803,SELL,0.3462
2026-01-01T03:40:00Z,BTC,5m,0.00001004,0.00001005,0.00000998,0.00001000,0.2567,0.5040,SELL,0.3462
2026-01-01T03:45:00Z,BTC,5m,0.00001000,0.00001001,0.00000999,0.00001000,0.5237,0.5210,SELL,0.3462
2026-01-01T03:50:00Z,BTC,5m,0.00001000,0.00001002,0.00001000,0.00001002,0.5532,0.5119,SELL,0.3462
2026-01-01T03:55:00Z,BTC,5m,0.00001002,0.00001002,0.00000998,0.00000999,0.3140,0.4666,SELL,0.3462
2026-01-01T04:00:00Z,BTC,5m,0.00000999,0.00000999,0.00000999,0.00000999,0.5298,0.4819,SELL,0.3462
2026-01-01T04:05:00Z,BTC,5m,0.00000999,0.00000999,0.00000999,0.00000999,0.4685,0.4973,SELL,0.3462
2026-01-01T04:10:00Z,BTC,5m,0.00000999,0.00000999,0.00000998,0.00000998,0.4512,0.5177,SELL,0.3462
2026-01-01T04:15:00Z,BTC,5m,0.00000998,0.00001000,0.00000998,0.00000999,0.5631,0.5047,SELL,0.3462
2026-01-01T04:20:00Z,BTC,5m,0.00000999,0.00000999,0.00000999,0.00000999,0.4971,0.5021,SELL,0.3462
2026-01-01T04:25:00Z,BTC,5m,0.00000999,0.00001000,0.00000999,0.00000999,0.4953,0.5054,SELL,0.3462
2026-01-01T04:30:00Z,BTC,5m,0.00000999,0.00000999,0.00000997,0.00000997,0.4156,0.5213,SELL,0.3462
2026-01-01T04:35:00Z,BTC,5m,0.00000997,0.00000999,0.00000992,0.00000993,0.2447,0.4779,SELL,0.3462
2026-01-01T04:40:00Z,BTC,5m,0.00000993,0.00000993,0.00000993,0.00000993,0.5220,0.5079,SELL,0.3462
2026-01-01T04:45:00Z,BTC,5m,0.00000993,0.00000995,0.00000993,0.00000995,0.5967,0.5239,SELL,0.3462
2026-01-01T04:50:00Z,BTC,5m,0.00000995,0.00000995,0.00000993,0.00000994,0.4170,0.4625,SELL,0.3462
2026-01-01T04:55:00Z,BTC,5m,0.00000994,0.00000995,0.00000993,0.00000995,0.5791,0.4668,SELL,0.3462
2026-01-01T05:00:00Z,BTC,5m,0.00000995,0.00000996,0.00000995,0.00000996,0.5487,0.5008,SELL,0.3462
2026-01-01T05:05:00Z,BTC,5m,0.00000996,0.00000997,0.00000992,0.00000993,0.3038,0.5158,SELL,0.3462
2026-01-01T05:10:00Z,BTC,5m,0.00000993,0.00000998,0.00000991,0.00000996,0.7297,0.5255,SELL,0.3462
2026-01-01T05:15:00Z,BTC,5m,0.00000996,0.00000997,0.00000995,0.00000995,0.4594,0.5141,SELL,0.3462
2026-01-01T05:20:00Z,BTC,5m,0.00000995,0.00000996,0.00000994,0.00000994,0.4522,0.4931,SELL,0.3462
2026-01-01T05:25:00Z,BTC,5m,0.00000994,0.00000994,0.00000993,0.00000993,0.4821,0.5240,SELL,0.3462
2026-01-01T05:30:00Z,BTC,5m,0.00000993,0.00000994,0.00000991,0.00000991,0.3751,0.5091,SELL,0.3462
2026-01-01T05:35:00Z,BTC,5m,0.00000991,0.00000992,0.00000987,0.00000988,0.3200,0.5383,SELL,0.3462
2026-01-01T05:40:00Z,BTC,5m,0.00000988,0.00000992,0.00000987,0.00000991,0.6590,0.4966,SELL,0.3462
2026-01-01T05:45:00Z,BTC,5m,0.00000991,0.00000995,0.00000991,0.00000994,0.6713,0.5363,SELL,0.3462
2026-01-01T05:50:00Z,BTC,5m,0.00000994,0.00000996,0.00000989,0.00000990,0.2172,0.5088,SELL,0.3462
2026-01-01T05:55:00Z,BTC,5m,0.00000990,0.00000991,0.00000986,0.00000987,0.2882,0.4976,SELL,0.3462
2026-01-01T06:00:00Z,BTC,5m,0.00000987,0.00000991,0.00000986,0.00000990,0.6993,0.5243,SELL,0.3462
2026-01-01T06:05:00Z,BTC,5m,0.00000990,0.00000995,0.00000989,0.00000994,0.7251,0.5110,SELL,0.3462
2026-01-01T06:10:00Z,BTC,5m,0.00000994,0.00000996,0.00000993,0.00000996,0.6545,0.4847,SELL,0.3462
2026-01-01T06:15:00Z,BTC,5m,0.00000996,0.00000997,0.00000990,0.00000991,0.2324,0.5129,SELL,0.3462
2026-01-01T06:20:00Z,BTC,5m,0.00000991,0.00000992,0.00000988,0.00000989,0.3355,0.4721,SELL,0.3462
2026-01-01T06:25:00Z,BTC,5m,0.00000989,0.00000992,0.00000988,0.00000991,0.6354,0.4770,SELL,0.3462
2026-01-01T06:30:00Z,BTC,5m,0.00000991,0.00000992,0.00000988,0.00000989,0.3902,0.4906,SELL,0.3462
2026-01-01T06:35:00Z,BTC,5m,0.00000989,0.00000993,0.00000988,0.00000992,0.6646,0.5299,SELL,0.3462
2026-01-01T06:40:00Z,BTC,5m,0.00000992,0.00000996,0.00000991,0.00000995,0.7205,0.4915,SELL,0.3462
2026-01-01T06:45:00Z,BTC,5m,0.00000995,0.00000996,0.00000992,0.00000993,0.3782,0.5002,SELL,0.3462
2026-01-01T06:50:00Z,BTC,5m,0.00000993,0.00000996,0.00000992,0.00000996,0.6604,0.5299,SELL,0.3462
2026-01-01T06:55:00Z,BTC,5m,0.00000996,0.00000997,0.00000995,0.00000997,0.5568,0.5232,SELL,0.3462
2026-01-01T07:00:00Z,BTC,5m,0.00000997,0.00000997,0.00000997,0.00000997,0.5219,0.5373,SELL,0.3462
2026-01-01T07:05:00Z,BTC,5m,0.00000997,0.00001002,0.00000996,0.00001001,0.7522,0.4934,SELL,0.3462
2026-01-01T07:10:00Z,BTC,5m,0.00001001,0.00001002,0.00001000,0.00001002,0.5422,0.5018,SELL,0.3462
2026-01-01T07:15:00Z,BTC,5m,0.00001002,0.00001003,0.00000997,0.00000998,0.2638,0.5189,SELL,0.3462
2026-01-01T07:20:00Z,BTC,5m,0.00000998,0.00000998,0.00000996,0.00000997,0.4353,0.5373,SELL,0.3462
2026-01-01T07:25:00Z,BTC,5m,0.00000997,0.00001001,0.00000996,0.00001000,0.7184,0.4941,SELL,0.3462
2026-01-01T07:30:00Z,BTC,5m,0.00001000,0.00001000,0.00001000,0.00001000,0.4773,0.5049,SELL,0.3462
2026-01-01T07:35:00Z,BTC,5m,0.00001000,0.00001001,0.00000994,0.00000995,0.2257,0.5024,SELL,0.3462
2026-01-01T07:40:00Z,BTC,5m,0.00000995,0.00000997,0.00000995,0.00000997,0.6123,0.4644,SELL,0.3462
2026-01-01T07:45:00Z,BTC,5m,0.00000997,0.00000998,0.00000993,0.00000994,0.3071,0.4979,SELL,0.3462
2026-01-01T07:50:00Z,BTC,5m,0.00000994,0.00000994,0.00000993,0.00000994,0.4732,0.4796,SELL,0.3462
2026-01-01T07:55:00Z,BTC,5m,0.00000994,0.00000994,0.00000994,0.00000994,0.5310,0.5307,SELL,0.3462
2026-01-01T08:00:00Z,BTC,5m,0.00000994,0.00000998,0.00000993,0.00000997,0.6780,0.5368,SELL,0.3462
2026-01-01T08:05:00Z,BTC,5m,0.00000997,0.00001002,0.00000996,0.00001001,0.7096,0.5145,SELL,0.3462
2026-01-01T08:10:00Z,BTC,5m,0.00001001,0.00001002,0.00001000,0.00001001,0.5659,0.4661,SELL,0.3462
2026-01-01T08:15:00Z,BTC,5m,0.00001001,0.00001002,0.00001001,0.00001002,0.5404,0.4614,SELL,0.3462
2026-01-01T08:20:00Z,BTC,5m,0.00001002,0.00001003,0.00000997,0.00000998,0.2805,0.5026,SELL,0.3462
2026-01-01T08:25:00Z,BTC,5m,0.00000998,0.00000999,0.00000998,0.00000999,0.5450,0.5305,SELL,0.3462
2026-01-01T08:30:00Z,BTC,5m,0.00000999,0.00001000,0.00000994,0.00000995,0.2883,0.4995,SELL,0.3462
2026-01-01T08:35:00Z,BTC,5m,0.00000995,0.00001000,0.00000994,0.00000999,0.6907,0.5016,SELL,0.3462
2026-01-01T08:40:00Z,BTC,5m,0.00000999,0.00001003,0.00000997,0.00001002,0.7488,0.5239,SELL,0.3462
2026-01-01T08:45:00Z,BTC,5m,0.00001002,0.00001006,0.00001002,0.00001005,0.6361,0.4869,SELL,0.3462
2026-01-01T08:50:00Z,BTC,5m,0.00001005,0.00001005,0.00001005,0.00001005,0.4982,0.5303,SELL,0.3462
2026-01-01T08:55:00Z,BTC,5m,0.00001005,0.00001009,0.00001004,0.00001008,0.6836,0.4708,SELL,0.3462
2026-01-01T09:00:00Z,BTC,5m,0.00001008,0.00001009,0.00001004,0.00001005,0.3018,0.5016,SELL,0.3462
2026-01-01T09:05:00Z,BTC,5m,0.00001005,0.00001009,0.00001004,0.00001008,0.6902,0.4692,SELL,0.3462
2026-01-01T09:10:00Z,BTC,5m,0.00001008,0.00001009,0.00001006,0.00001006,0.3534,0.4817,SELL,0.3462
2026-01-01T09:15:00Z,BTC,5m,0.00001006,0.00001008,0.00001006,0.00001008,0.6073,0.5087,SELL,0.3462
2026-01-01T09:20:00Z,BTC,5m,0.00001008,0.00001010,0.00001007,0.00001009,0.5899,0.5036,SELL,0.3462
2026-01-01T09:25:00Z,BTC,5m,0.00001009,0.00001010,0.00001004,0.00001006,0.3037,0.4948,SELL,0.3462
2026-01-01T09:30:00Z,BTC,5m,0.00001006,0.00001006,0.00001004,0.00001005,0.4535,0.4798,SELL,0.3462
2026-01-01T09:35:00Z,BTC,5m,0.00001005,0.00001006,0.00000999,0.00001000,0.2671,0.5340,SELL,0.3462
2026-01-01T09:40:00Z,BTC,5m,0.00001000,0.00001006,0.00000999,0.00001005,0.7322,0.4930,SELL,0.3462
2026-01-01T09:45:00Z,BTC,5m,0.00001005,0.00001005,0.00001004,0.00001004,0.4680,0.4985,SELL,0.3462
2026-01-01T09:50:00Z,BTC,5m,0.00001004,0.00001005,0.00001000,0.00001001,0.3180,0.4972,SELL,0.3462
2026-01-01T09:55:00Z,BTC,5m,0.00001001,0.00001001,0.00000999,0.00001000,0.4249,0.5316,SELL,0.3462
2026-01-01T10:00:00Z,BTC,5m,0.00001000,0.00001001,0.00000995,0.00000996,0.3017,0.5080,SELL,0.3462
2026-01-01T10:05:00Z,BTC,5m,0.00000996,0.00001001,0.00000995,0.00001000,0.7503,0.4666,SELL,0.3462
2026-01-01T10:10:00Z,BTC,5m,0.00001000,0.00001001,0.00000997,0.00000998,0.3314,0.4692,SELL,0.3462
2026-01-01T10:15:00Z,BTC,5m,0.00000998,0.00001001,0.00000997,0.00001000,0.6783,0.4734,SELL,0.3462
2026-01-01T10:20:00Z,BTC,5m,0.00001000,0.00001002,0.00001000,0.00001002,0.6079,0.5155,SELL,0.3462
2026-01-01T10:25:00Z,BTC,5m,0.00001002,0.00001002,0.00001002,0.00001002,0.5048,0.5119,SELL,0.3462
2026-01-01T10:30:00Z,BTC,5m,0.00001002,0.00001006,0.00001001,0.00001005,0.6832,0.5373,SELL,0.3462
2026-01-01T10:35:00Z,BTC,5m,0.00001005,0.00001006,0.00001002,0.00001003,0.3381,0.4970,SELL,0.3462
2026-01-01T10:40:00Z,BTC,5m,0.00001003,0.00001005,0.00001002,0.00001004,0.5839,0.4625,SELL,0.3462
2026-01-01T10:45:00Z,BTC,5m,0.00001004,0.00001005,0.00001001,0.00001002,0.3728,0.4801,SELL,0.3462
2026-01-01T10:50:00Z,BTC,5m,0.00001002,0.00001004,0.00001002,0.00001004,0.5867,0.4768,SELL,0.3462
2026-01-01T10:55:00Z,BTC,5m,0.00001004,0.00001005,0.00000998,0.00001000,0.2519,0.5166,SELL,0.3462
2026-01-01T11:00:00Z,BTC,5m,0.00001000,0.00001002,0.00000999,0.00001001,0.6293,0.4714,SELL,0.3462
2026-01-01T11:05:00Z,BTC,5m,0.00001001,0.00001002,0.00001001,0.00001001,0.4426,0.4828,SELL,0.3462
2026-01-01T11:10:00Z,BTC,5m,0.00001001,0.00001002,0.00000996,0.00000997,0.2453,0.4884,SELL,0.3462
2026-01-01T11:15:00Z,BTC,5m,0.00000997,0.00001002,0.00000996,0.00001001,0.7697,0.5367,SELL,0.3462
2026-01-01T11:20:00Z,BTC,5m,0.00001001,0.00001002,0.00000997,0.00000998,0.3633,0.5206,SELL,0.3462
2026-01-01T11:25:00Z,BTC,5m,0.00000998,0.00000999,0.00000995,0.00000996,0.3589,0.4897,SELL,0.3462
2026-01-01T11:30:00Z,BTC,5m,0.00000996,0.00000996,0.00000992,0.00000993,0.3265,0.4933,SELL,0.3462
2026-01-01T11:35:00Z,BTC,5m,0.00000993,0.00000997,0.00000992,0.00000996,0.7024,0.4891,SELL,0.3462
2026-01-01T11:40:00Z,BTC,5m,0.00000996,0.00001000,0.00000995,0.00000999,0.6731,0.5114,SELL,0.3462
2026-01-01T11:45:00Z,BTC,5m,0.00000999,0.00001000,0.00000997,0.00000998,0.3892,0.4633,SELL,0.3462
2026-01-01T11:50:00Z,BTC,5m,0.00000998,0.00000999,0.00000992,0.00000993,0.2355,0.4851,SELL,0.3462
2026-01-01T11:55:00Z,BTC,5m,0.00000993,0.00000994,0.00000989,0.00000990,0.3056,0.4976,SELL,0.3462
2026-01-01T12:00:00Z,BTC,5m,0.00000990,0.00000990,0.00000988,0.00000989,0.4101,0.4777,SELL,0.3462
2026-01-01T12:05:00Z,BTC,5m,0.00000989,0.00000989,0.00000985,0.00000986,0.3488,0.5270,SELL,0.3462
