timestamp_utc,instrument,timeframe,open,high,low,close,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-01-01T00:00:00Z,BTC,5m,150.00000000,150.15000000,149.85000000,150.00000000,0.6881,0.5314,SELL,0.3462
2026-01-01T00:05:00Z,BTC,5m,150.00000000,150.00247928,149.98925658,149.99173573,0.4805,0.4761,SELL,0.3462
2026-01-01T00:10:00Z,BTC,5m,149.99173573,150.20583716,149.94234022,150.15638743,0.6807,0.4713,SELL,0.3462
2026-01-01T00:15:00Z,BTC,5m,150.15638743,150.48530581,150.08051268,150.40930326,0.7621,0.5126,SELL,0.3462
2026-01-01T00:20:00Z,BTC,5m,150.40930326,150.44505095,150.25442494,150.29014431,0.3960,0.4712,SELL,0.3462
2026-01-01T00:25:00Z,BTC,5m,150.29014431,150.50057857,150.24159462,150.45197661,0.6649,0.5202,SELL,0.3462
2026-01-01T00:30:00Z,BTC,5m,150.45197661,150.53946923,150.43178808,150.51927168,0.5737,0.4685,SELL,0.3462
2026-01-01T00:35:00Z,BTC,5m,150.51927168,150.77547161,150.46016647,150.71628904,0.6834,0.4606,SELL,0.3462
2026-01-01T00:40:00Z,BTC,5m,150.71628904,150.96547748,150.65880088,150.90791623,0.7181,0.4804,SELL,0.3462
2026-01-01T00:45:00Z,BTC,5m,150.90791623,151.15868200,150.85006427,151.10075611,0.7023,0.4702,SELL,0.3462
2026-01-01T00:50:00Z,BTC,5m,151.10075611,151.16184692,151.08665924,151.14774566,0.5495,0.5186,SELL,0.3462
2026-01-01T00:55:00Z,BTC,5m,151.14774566,151.19067590,150.96175531,151.00464489,0.3580,0.4643,SELL,0.3462
2026-01-01T01:00:00Z,BTC,5m,151.00464489,151.07412211,150.70368351,150.77305417,0.2622,0.4744,SELL,0.3462
2026-01-01T01:05:00Z,BTC,5m,150.77305417,150.96018336,150.72988002,150.91696800,0.6453,0.4993,SELL,0.3462
2026-01-01T01:10:00Z,BTC,5m,150.91696800,150.96924479,150.69049562,150.74271204,0.3393,0.5265,SELL,0.3462
2026-01-01T01:15:00Z,BTC,5m,150.74271204,150.81824877,150.41551238,150.49092294,0.2144,0.5269,SELL,0.3462
2026-01-01T01:20:00Z,BTC,5m,150.49092294,150.51932380,150.36787040,150.39625339,0.4168,0.5345,SELL,0.3462
2026-01-01T01:25:00Z,BTC,5m,150.39625339,150.62682306,150.34305948,150.57356644,0.7071,0.5317,SELL,0.3462
2026-01-01T01:30:00Z,BTC,5m,150.57356644,150.64528758,150.55701680,150.62873188,0.5391,0.5052,SELL,0.3462
2026-01-01T01:35:00Z,BTC,5m,150.62873188,150.63827816,150.62652892,150.63607509,0.5153,0.4718,SELL,0.3462
2026-01-01T01:40:00Z,BTC,5m,150.63607509,150.69530518,150.37948896,150.43864143,0.3168,0.5082,SELL,0.3462
2026-01-01T01:45:00Z,BTC,5m,150.43864143,150.49159376,150.20924345,150.26213365,0.3342,0.5021,SELL,0.3462
2026-01-01T01:50:00Z,BTC,5m,150.26213365,150.33857796,149.93100462,150.00731929,0.2360,0.5322,SELL,0.3462
2026-01-01T01:55:00Z,BTC,5m,150.00731929,150.11613197,149.98221190,150.09101058,0.5752,0.4698,SELL,0.3462
2026-01-01T02:00:00Z,BTC,5m,150.09101058,150.10837251,150.01578222,150.03313746,0.4387,0.5119,SELL,0.3462
2026-01-01T02:05:00Z,BTC,5m,150.03313746,150.05799662,149.92542815,149.95027359,0.3921,0.4950,SELL,0.3462
2026-01-01T02:10:00Z,BTC,5m,149.95027359,150.10652494,149.91422225,150.07044471,0.6573,0.5278,SELL,0.3462
2026-01-01T02:15:00Z,BTC,5m,150.07044471,150.13853619,149.77548459,149.84347309,0.2888,0.5300,SELL,0.3462
2026-01-01T02:20:00Z,BTC,5m,149.84347309,150.11467915,149.78090718,150.05202615,0.7097,0.5219,SELL,0.3462
2026-01-01T02:25:00Z,BTC,5m,150.05202615,150.06577517,149.99245128,150.00619610,0.4258,0.4700,SELL,0.3462
2026-01-01T02:30:00Z,BTC,5m,150.00619610,150.27120243,149.94505996,150.20998323,0.7178,0.5222,SELL,0.3462
2026-01-01T02:35:00Z,BTC,5m,150.20998323,150.45616102,150.15318949,150.39929570,0.6800,0.5011,SELL,0.3462
2026-01-01T02:40:00Z,BTC,5m,150.39929570,150.43963174,150.22454224,150.26484222,0.3407,0.5016,SELL,0.3462
2026-01-01T02:45:00Z,BTC,5m,150.26484222,150.55535790,150.19782313,150.48823918,0.7555,0.5381,SELL,0.3462
2026-01-01T02:50:00Z,BTC,5m,150.48823918,150.56554630,150.15337400,150.23054875,0.2136,0.5344,SELL,0.3462
2026-01-01T02:55:00Z,BTC,5m,150.23054875,150.48519403,150.17180212,150.42637083,0.7353,0.4689,SELL,0.3462
2026-01-01T03:00:00Z,BTC,5m,150.42637083,150.64320202,150.37634566,150.59312139,0.6750,0.4830,SELL,0.3462
2026-01-01T03:05:00Z,BTC,5m,150.59312139,150.62037080,150.47505708,150.50229005,0.4075,0.5114,SELL,0.3462
2026-01-01T03:10:00Z,BTC,5m,150.50229005,150.63179203,150.47240954,150.60189175,0.6227,0.4715,SELL,0.3462
2026-01-01T03:15:00Z,BTC,5m,150.60189175,150.65979111,150.35106873,150.40889389,0.2783,0.5120,SELL,0.3462
2026-01-01T03:20:00Z,BTC,5m,150.40889389,150.48252672,150.08993848,150.16345115,0.2404,0.4783,SELL,0.3462
2026-01-01T03:25:00Z,BTC,5m,150.16345115,150.17522837,150.11241960,150.12419374,0.4717,0.5284,SELL,0.3462
2026-01-01T03:30:00Z,BTC,5m,150.12419374,150.41112367,150.05800159,150.34483424,0.7315,0.5074,SELL,0.3462
2026-01-01T03:35:00Z,BTC,5m,150.34483424,150.37664262,150.20702037,150.23880632,0.3997,0.4803,SELL,0.3462
2026-01-01T03:40:00Z,BTC,5m,150.23880632,150.31445706,149.91111341,149.98663718,0.2567,0.5040,SELL,0.3462
2026-01-01T03:45:00Z,BTC,5m,149.98663718,150.04089884,149.97411606,150.02837424,0.5237,0.5210,SELL,0.3462
2026-01-01T03:50:00Z,BTC,5m,150.02837424,150.11230113,150.00900842,150.09292698,0.5532,0.5119,SELL,0.3462
2026-01-01T03:55:00Z,BTC,5m,150.09292698,150.14096296,149.88482227,149.93280702,0.3140,0.4666,SELL,0.3462
2026-01-01T04:00:00Z,BTC,5m,149.93280702,149.97155535,149.92386550,149.96261206,0.5298,0.4819,SELL,0.3462
2026-01-01T04:05:00Z,BTC,5m,149.96261206,149.96681670,149.94439236,149.94859660,0.4685,0.4973,SELL,0.3462
2026-01-01T04:10:00Z,BTC,5m,149.94859660,149.96466108,149.87898960,149.89504834,0.4512,0.5177,SELL,0.3462
