timestamp_utc,instrument,timeframe,open,high,low,close,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-01-01T00:00:00Z,BTC,5m,5.0000,5.0500,4.9500,5.0000,0.6881,0.5314,SELL,0.3462
2026-01-01T00:05:00Z,BTC,5m,5.0000,5.0041,4.9867,4.9908,0.4805,0.4761,SELL,0.3462
2026-01-01T00:10:00Z,BTC,5m,4.9908,5.2586,4.9086,5.1734,0.6807,0.4713,SELL,0.3462
2026-01-01T00:15:00Z,BTC,5m,5.1734,5.6019,5.0427,5.4639,0.7621,0.5126,SELL,0.3462
2026-01-01T00:20:00Z,BTC,5m,5.4639,5.5288,5.2564,5.3196,0.3960,0.4712,SELL,0.3462
2026-01-01T00:25:00Z,BTC,5m,5.3196,5.5996,5.2337,5.5105,0.6649,0.5202,SELL,0.3462
2026-01-01T00:30:00Z,BTC,5m,5.5105,5.6302,5.4736,5.5927,0.5737,0.4685,SELL,0.3462
2026-01-01T00:35:00Z,BTC,5m,5.5927,5.9513,5.4829,5.8367,0.6834,0.4606,SELL,0.3462
2026-01-01T00:40:00Z,BTC,5m,5.8367,6.2001,5.7254,6.0841,0.7181,0.4804,SELL,0.3462
2026-01-01T00:45:00Z,BTC,5m,6.0841,6.4648,5.9675,6.3432,0.7023,0.4702,SELL,0.3462
2026-01-01T00:50:00Z,BTC,5m,6.3432,6.4389,6.3137,6.4090,0.5495,0.5186,SELL,0.3462
2026-01-01T00:55:00Z,BTC,5m,6.4090,6.5000,6.1186,6.2067,0.3580,0.4643,SELL,0.3462
2026-01-01T01:00:00Z,BTC,5m,6.2067,6.3495,5.7540,5.8894,0.2622,0.4744,SELL,0.3462
2026-01-01T01:05:00Z,BTC,5m,5.8894,6.1638,5.8051,6.0768,0.6453,0.4993,SELL,0.3462
2026-01-01T01:10:00Z,BTC,5m,6.0768,6.1821,5.7417,5.8429,0.3393,0.5265,SELL,0.3462
2026-01-01T01:15:00Z,BTC,5m,5.8429,5.9893,5.3794,5.5176,0.2144,0.5269,SELL,0.3462
2026-01-01T01:20:00Z,BTC,5m,5.5176,5.5697,5.3509,5.4019,0.4168,0.5345,SELL,0.3462
2026-01-01T01:25:00Z,BTC,5m,5.4019,5.7135,5.3064,5.6142,0.7071,0.5317,SELL,0.3462
2026-01-01T01:30:00Z,BTC,5m,5.6142,5.7140,5.5834,5.6828,0.5391,0.5052,SELL,0.3462
2026-01-01T01:35:00Z,BTC,5m,5.6828,5.6962,5.6786,5.6920,0.5153,0.4718,SELL,0.3462
2026-01-01T01:40:00Z,BTC,5m,5.6920,5.8039,5.3363,5.4433,0.3168,0.5082,SELL,0.3462
2026-01-01T01:45:00Z,BTC,5m,5.4433,5.5391,5.1384,5.2304,0.3342,0.5021,SELL,0.3462
2026-01-01T01:50:00Z,BTC,5m,5.2304,5.3635,4.8093,4.9348,0.2360,0.5322,SELL,0.3462
2026-01-01T01:55:00Z,BTC,5m,4.9348,5.0686,4.8935,5.0266,0.5752,0.4698,SELL,0.3462
2026-01-01T02:00:00Z,BTC,5m,5.0266,5.0556,4.9332,4.9619,0.4387,0.5119,SELL,0.3462
2026-01-01T02:05:00Z,BTC,5m,4.9619,5.0031,4.8302,4.8706,0.3921,0.4950,SELL,0.3462
2026-01-01T02:10:00Z,BTC,5m,4.8706,5.0608,4.8120,5.0007,0.6573,0.5278,SELL,0.3462
2026-01-01T02:15:00Z,BTC,5m,5.0007,5.1142,4.6409,4.7486,0.2888,0.5300,SELL,0.3462
2026-01-01T02:20:00Z,BTC,5m,4.7486,5.0726,4.6495,4.9689,0.7097,0.5219,SELL,0.3462
2026-01-01T02:25:00Z,BTC,5m,4.9689,4.9917,4.8958,4.9183,0.4258,0.4700,SELL,0.3462
2026-01-01T02:30:00Z,BTC,5m,4.9183,5.2458,4.8181,5.1410,0.7178,0.5222,SELL,0.3462
2026-01-01T02:35:00Z,BTC,5m,5.1410,5.4583,5.0438,5.3570,0.6800,0.5011,SELL,0.3462
2026-01-01T02:40:00Z,BTC,5m,5.3570,5.4289,5.1277,5.1974,0.3407,0.5016,SELL,0.3462
2026-01-01T02:45:00Z,BTC,5m,5.1974,5.5766,5.0815,5.4549,0.7555,0.5381,SELL,0.3462
2026-01-01T02:50:00Z,BTC,5m,5.4549,5.5951,5.0115,5.1436,0.2136,0.5344,SELL,0.3462
2026-01-01T02:55:00Z,BTC,5m,5.1436,5.4720,5.0430,5.3671,0.7353,0.4689,SELL,0.3462
2026-01-01T03:00:00Z,BTC,5m,5.3671,5.6579,5.2778,5.5654,0.6750,0.4830,SELL,0.3462
2026-01-01T03:05:00Z,BTC,5m,5.5654,5.6157,5.4042,5.4535,0.4075,0.5114,SELL,0.3462
2026-01-01T03:10:00Z,BTC,5m,5.4535,5.6291,5.3994,5.5738,0.6227,0.4715,SELL,0.3462
2026-01-01T03:15:00Z,BTC,5m,5.5738,5.6809,5.2331,5.3357,0.2783,0.5120,SELL,0.3462
2026-01-01T03:20:00Z,BTC,5m,5.3357,5.4663,4.9220,5.0455,0.2404,0.4783,SELL,0.3462
2026-01-01T03:25:00Z,BTC,5m,5.0455,5.0653,4.9819,5.0015,0.4717,0.5284,SELL,0.3462
2026-01-01T03:30:00Z,BTC,5m,5.0015,5.3622,4.8912,5.2465,0.7315,0.5074,SELL,0.3462
2026-01-01T03:35:00Z,BTC,5m,5.2465,5.3020,5.0690,5.1232,0.3997,0.4803,SELL,0.3462
2026-01-01T03:40:00Z,BTC,5m,5.1232,5.2522,4.7148,4.8366,0.2567,0.5040,SELL,0.3462
2026-01-01T03:45:00Z,BTC,5m,4.8366,4.9018,4.8164,4.8814,0.5237,0.5210,SELL,0.3462
2026-01-01T03:50:00Z,BTC,5m,4.8814,4.9834,4.8499,4.9514,0.5532,0.5119,SELL,0.3462
2026-01-01T03:55:00Z,BTC,5m,4.9514,5.0307,4.6989,4.7754,0.3140,0.4666,SELL,0.3462
2026-01-01T04:00:00Z,BTC,5m,4.7754,4.8213,4.7611,4.8070,0.5298,0.4819,SELL,0.3462
2026-01-01T04:05:00Z,BTC,5m,4.8070,4.8137,4.7853,4.7920,0.4685,0.4973,SELL,0.3462
2026-01-01T04:10:00Z,BTC,5m,4.7920,4.8177,4.7096,4.7350,0.4512,0.5177,SELL,0.3462
2026-01-01T04:15:00Z,BTC,5m,4.7350,4.8504,4.6994,4.8141,0.5631,0.5047,SELL,0.3462
2026-01-01T04:20:00Z,BTC,5m,4.8141,4.8223,4.8116,4.8197,0.4971,0.5021,SELL,0.3462
2026-01-01T04:25:00Z,BTC,5m,4.8197,4.8315,4.7818,4.7935,0.4953,0.5054,SELL,0.3462
2026-01-01T04:30:00Z,BTC,5m,4.7935,4.8355,4.6591,4.7002,0.4156,0.5213,SELL,0.3462
2026-01-01T04:35:00Z,BTC,5m,4.7002,4.8123,4.3451,4.4513,0.2447,0.4779,SELL,0.3462
2026-01-01T04:40:00Z,BTC,5m,4.4513,4.4565,4.4496,4.4549,0.5220,0.5079,SELL,0.3462
2026-01-01T04:45:00Z,BTC,5m,4.4549,4.5890,4.4135,4.5468,0.5967,0.5239,SELL,0.3462
2026-01-01T04:50:00Z,BTC,5m,4.5468,4.5801,4.4402,4.4729,0.4170,0.4625,SELL,0.3462
2026-01-01T04:55:00Z,BTC,5m,4.4729,4.5693,4.4431,4.5391,0.5791,0.4668,SELL,0.3462
2026-01-01T05:00:00Z,BTC,5m,4.5391,4.6054,4.5185,4.5847,0.5487,0.5008,SELL,0.3462
2026-01-01T05:05:00Z,BTC,5m,4.5847,4.6641,4.3318,4.4082,0.3038,0.5158,SELL,0.3462
2026-01-01T05:10:00Z,BTC,5m,4.4082,4.7273,4.3107,4.6249,0.7297,0.5255,SELL,0.3462
2026-01-01T05:15:00Z,BTC,5m,4.6249,4.6545,4.5302,4.5593,0.4594,0.5141,SELL,0.3462
2026-01-01T05:20:00Z,BTC,5m,4.5593,4.5926,4.4527,4.4854,0.4522,0.4931,SELL,0.3462
2026-01-01T05:25:00Z,BTC,5m,4.4854,4.5032,4.4281,4.4458,0.4821,0.5240,SELL,0.3462
2026-01-01T05:30:00Z,BTC,5m,4.4458,4.4920,4.2979,4.3430,0.3751,0.5091,SELL,0.3462
2026-01-01T05:35:00Z,BTC,5m,4.3430,4.4198,4.0987,4.1724,0.3200,0.5383,SELL,0.3462
2026-01-01T05:40:00Z,BTC,5m,4.1724,4.4121,4.0990,4.3357,0.6590,0.4966,SELL,0.3462
2026-01-01T05:45:00Z,BTC,5m,4.3357,4.5725,4.2631,4.4972,0.6713,0.5363,SELL,0.3462
2026-01-01T05:50:00Z,BTC,5m,4.4972,4.6096,4.1410,4.2472,0.2172,0.5088,SELL,0.3462
2026-01-01T05:55:00Z,BTC,5m,4.2472,4.3248,4.0004,4.0748,0.2882,0.4976,SELL,0.3462
2026-01-01T06:00:00Z,BTC,5m,4.0748,4.3302,3.9966,4.2487,0.6993,0.5243,SELL,0.3462
2026-01-01T06:05:00Z,BTC,5m,4.2487,4.5248,4.1641,4.4365,0.7251,0.5110,SELL,0.3462
2026-01-01T06:10:00Z,BTC,5m,4.4365,4.6121,4.3825,4.5566,0.6545,0.4847,SELL,0.3462
2026-01-01T06:15:00Z,BTC,5m,4.5566,4.6730,4.1881,4.2979,0.2324,0.5129,SELL,0.3462
2026-01-01T06:20:00Z,BTC,5m,4.2979,4.3605,4.0982,4.1588,0.3355,0.4721,SELL,0.3462
2026-01-01T06:25:00Z,BTC,5m,4.1588,4.3474,4.1008,4.2876,0.6354,0.4770,SELL,0.3462
2026-01-01T06:30:00Z,BTC,5m,4.2876,4.3436,4.1090,4.1633,0.3902,0.4906,SELL,0.3462
2026-01-01T06:35:00Z,BTC,5m,4.1633,4.4045,4.0893,4.3277,0.6646,0.5299,SELL,0.3462
2026-01-01T06:40:00Z,BTC,5m,4.3277,4.5839,4.2491,4.5022,0.7205,0.4915,SELL,0.3462
