ts,side,qty,usd_amount,pnl,symbol
2026-05-08T14:05:00Z,BUY,0.056332,5.0,0,SOLUSDT
2026-05-08T15:20:00Z,SELL,0.056332,5.0,-0.0158,SOLUSDT
2026-05-08T15:50:00Z,BUY,0.055866,5.0,0,SOLUSDT
2026-05-08T18:20:00Z,SELL,0.055866,5.0,0.1542,SOLUSDT
2026-05-08T19:15:00Z,BUY,0.053943,5.0,0,SOLUSDT
2026-05-08T20:50:00Z,SELL,0.053943,5.0,-0.0313,SOLUSDT
2026-05-08T21:05:00Z,SHORT,0.054419,5.0,0,SOLUSDT
2026-05-08T22:00:00Z,COVER,0.054419,5.0,-0.0327,SOLUSDT
2026-05-08T23:05:00Z,SHORT,0.054289,5.0,0,SOLUSDT
2026-05-09T00:20:00Z,COVER,0.054289,5.0,-0.0098,SOLUSDT
2026-05-09T01:35:00Z,BUY,0.053856,5.0,0,SOLUSDT
2026-05-09T04:55:00Z,SELL,0.053856,5.0,0.0215,SOLUSDT
2026-05-09T05:00:00Z,SHORT,0.053775,5.0,0,SOLUSDT
2026-05-09T06:00:00Z,COVER,0.053775,5.0,-0.05,SOLUSDT
2026-05-09T09:10:00Z,SHORT,0.053482,5.0,0,SOLUSDT
2026-05-09T10:35:00Z,COVER,0.053482,5.0,-0.0043,SOLUSDT
