ts,session,structure,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-08T07:55:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.17,88.23,88.14,88.22,0,0,0,0,100.0
2026-05-08T08:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.23,88.27,88.19,88.27,0,0,0,0,100.0
2026-05-08T08:05:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.27,88.36,88.16,88.22,0,0,0,0,100.0
2026-05-08T08:10:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.22,88.3,88.19,88.22,0,0,0,0,100.0
2026-05-08T08:15:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.22,88.26,88.16,88.16,0,0,0,0,100.0
2026-05-08T08:20:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.16,88.2,88.05,88.05,0,0,0,0,100.0
2026-05-08T08:25:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.05,88.28,88.01,88.2,0,0,0,0,100.0
2026-05-08T08:30:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.21,88.29,88.19,88.29,0,0,0,0,100.0
2026-05-08T08:35:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.29,88.46,88.29,88.46,0,0,0,0,100.0
2026-05-08T08:40:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.46,88.52,88.38,88.48,0,0,0,0,100.0
2026-05-08T08:45:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.48,88.63,88.46,88.52,0,0,0,0,100.0
2026-05-08T08:50:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.52,88.54,88.46,88.51,0,0,0,0,100.0
2026-05-08T08:55:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.52,88.52,88.35,88.38,0,0,0,0,100.0
2026-05-08T09:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,88.38,88.39,88.23,88.3,0,0,0,0,100.0
2026-05-08T09:05:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.29,88.48,88.28,88.47,0,0,0,0,100.0
2026-05-08T09:10:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.48,88.56,88.45,88.55,0,0,0,0,100.0
2026-05-08T09:15:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.56,88.6,88.53,88.57,0,0,0,0,100.0
2026-05-08T09:20:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.57,88.69,88.56,88.64,0,0,0,0,100.0
2026-05-08T09:25:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.64,88.72,88.55,88.56,0,0,0,0,100.0
2026-05-08T09:30:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.57,88.62,88.52,88.59,0,0,0,0,100.0
2026-05-08T09:35:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,88.58,88.61,88.5,88.53,0,0,0,0,100.0
