ts,balance,position_qty,avg_entry,position_value,unrealized_pnl,realized_pnl,total_equity,price
2026-05-08T10:25:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,88.46
2026-05-08T10:50:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,88.71
2026-05-08T11:15:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,88.65
2026-05-08T11:40:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,88.52
2026-05-08T12:05:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,88.58
2026-05-08T12:30:00+00:00,100.0,0.0,0,0.0,0.0,0.0,100.0,88.66
2026-05-08T13:20:00+00:00,98.76,-3.422398,0,-302.88,-302.8822,0.7782,-204.12,88.5
2026-05-08T13:45:00+00:00,99.68,-3.358202,0,-296.5,-296.4956,1.6538,-196.82,88.29
2026-05-08T14:10:00+00:00,100.69,0.0,0,0.0,0.0,0.6909,100.69,88.82
2026-05-08T14:35:00+00:00,100.69,0.0,0,0.0,0.0,0.6909,100.69,89.21
2026-05-08T15:00:00+00:00,100.69,0.0,0,0.0,0.0,0.6909,100.69,88.97
2026-05-08T15:25:00+00:00,100.69,0.0,0,0.0,0.0,0.6909,100.69,88.59
2026-05-08T15:50:00+00:00,100.69,0.0,0,0.0,0.0,0.6909,100.69,89.5
2026-05-08T16:15:00+00:00,100.69,0.0,0,0.0,0.0,0.6909,100.69,89.5
2026-05-08T16:40:00+00:00,100.69,0.0,0,0.0,0.0,0.6909,100.69,89.71
2026-05-08T17:05:00+00:00,100.69,0.0,0,0.0,0.0,0.6909,100.69,89.68
2026-05-08T17:30:00+00:00,100.69,0.0,0,0.0,0.0,0.6909,100.69,91.61
2026-05-08T17:55:00+00:00,5.32,1.039058,91.78812,95.23,-0.1435,0.6909,100.55,91.65
2026-05-08T18:20:00+00:00,5.32,1.039058,91.78812,95.86,0.4903,0.6909,101.18,92.26
2026-05-08T18:45:00+00:00,5.32,1.039058,91.78812,95.95,0.5734,0.6909,101.26,92.34
2026-05-08T19:10:00+00:00,5.32,1.039058,91.78812,96.01,0.6358,0.6909,101.33,92.4
2026-05-08T19:35:00+00:00,5.32,1.039058,91.78812,96.06,0.6877,0.6909,101.38,92.45
2026-05-08T20:00:00+00:00,5.32,1.039058,91.78812,95.99,0.615,0.6909,101.31,92.38
2026-05-08T20:25:00+00:00,5.32,1.039058,91.78812,96.09,0.7189,0.6909,101.41,92.48
2026-05-08T20:50:00+00:00,5.32,1.039058,91.78812,95.71,0.3345,0.6909,101.03,92.11
2026-05-08T21:15:00+00:00,5.32,1.039058,91.78812,95.61,0.2409,0.6909,100.93,92.02
2026-05-08T21:40:00+00:00,5.32,1.039058,91.78812,95.99,0.615,0.6909,101.31,92.38
2026-05-08T22:05:00+00:00,5.32,1.039058,91.78812,96.13,0.7605,0.6909,101.45,92.52
2026-05-08T22:30:00+00:00,5.32,1.039058,91.78812,96.0,0.6254,0.6909,101.32,92.39
2026-05-08T22:55:00+00:00,5.32,1.039058,91.78812,95.91,0.5319,0.6909,101.22,92.3
2026-05-08T23:20:00+00:00,5.32,1.039058,91.78812,95.56,0.189,0.6909,100.88,91.97
2026-05-08T23:45:00+00:00,5.21,0.86535,110.213389,79.5,-15.8734,0.6909,84.71,91.87
2026-05-09T00:10:00+00:00,5.28,1.039058,91.78812,95.68,0.3033,0.6531,100.96,92.08
2026-05-09T00:35:00+00:00,5.28,1.039058,91.78812,96.07,0.6981,0.6531,101.35,92.46
2026-05-09T01:00:00+00:00,5.28,1.039058,91.78812,96.09,0.7189,0.6531,101.37,92.48
2026-05-09T01:25:00+00:00,5.28,1.039058,91.78812,96.1,0.7293,0.6531,101.38,92.49
2026-05-09T01:50:00+00:00,102.67,0.0,0,0.0,-95.3731,2.6669,102.67,93.72
2026-05-09T02:15:00+00:00,102.67,0.0,0,0.0,-95.3731,2.6669,102.67,93.54
2026-05-09T02:40:00+00:00,102.67,0.0,0,0.0,-95.3731,2.6669,102.67,93.48
2026-05-09T03:05:00+00:00,102.67,0.0,0,0.0,-95.3731,2.6669,102.67,93.58
2026-05-09T03:30:00+00:00,102.67,0.0,0,0.0,-95.3731,2.6669,102.67,93.58
2026-05-09T03:55:00+00:00,102.67,0.0,0,0.0,-95.3731,2.6669,102.67,93.64
2026-05-09T04:20:00+00:00,102.67,0.0,0,0.0,-95.3731,2.6669,102.67,93.68
2026-05-09T04:45:00+00:00,100.61,-3.294653,0,-308.15,-403.5221,2.6669,-207.54,93.53
2026-05-09T05:10:00+00:00,102.43,-3.368845,0,-313.71,-409.0799,4.5161,-211.28,93.12
2026-05-09T05:35:00+00:00,103.35,0.0,0,0.0,-95.3731,3.3471,103.35,93.67
2026-05-09T06:00:00+00:00,103.35,0.0,0,0.0,-95.3731,3.3471,103.35,93.91
2026-05-09T06:25:00+00:00,103.35,0.0,0,0.0,-95.3731,3.3471,103.35,93.55
2026-05-09T06:50:00+00:00,103.35,0.0,0,0.0,-95.3731,3.3471,103.35,93.48
2026-05-09T07:15:00+00:00,103.35,0.0,0,0.0,-95.3731,3.3471,103.35,93.62
2026-05-09T07:40:00+00:00,103.35,0.0,0,0.0,-95.3731,3.3471,103.35,93.72
2026-05-09T08:05:00+00:00,103.35,0.0,0,0.0,-95.3731,3.3471,103.35,93.67
2026-05-09T08:30:00+00:00,103.35,0.0,0,0.0,-95.3731,3.3471,103.35,93.8
