ts,structure,adx,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-08T14:50:00+00:00,RANGE,23.2,NO_TRADE,RANGE_STRUCTURE,89.13,89.24,89.03,89.24,0,0,0,0,100.0
2026-05-08T14:55:00+00:00,RANGE,20.9,NO_TRADE,RANGE_STRUCTURE,89.24,89.24,89.04,89.15,0,0,0,0,100.0
2026-05-08T15:00:00+00:00,RANGE,20.6,NO_TRADE,RANGE_STRUCTURE,89.16,89.29,88.95,88.97,0,0,0,0,100.0
2026-05-08T15:05:00+00:00,BULLISH,19.9,NO_TRADE,NO_BREAKOUT,88.96,89.07,88.85,88.95,0,0,0,0,100.0
2026-05-08T15:10:00+00:00,BULLISH,19.4,NO_TRADE,NO_BREAKOUT,88.95,89.08,88.84,88.9,0,0,0,0,100.0
2026-05-08T15:15:00+00:00,RANGE,18.8,NO_TRADE,RANGE_STRUCTURE,88.9,88.93,88.66,88.7,0,0,0,0,100.0
2026-05-08T15:20:00+00:00,RANGE,18.2,NO_TRADE,RANGE_STRUCTURE,88.7,88.84,88.44,88.48,0,0,0,0,100.0
2026-05-08T15:25:00+00:00,RANGE,18.3,NO_TRADE,RANGE_STRUCTURE,88.48,88.59,88.43,88.59,0,0,0,0,100.0
2026-05-08T15:30:00+00:00,BEARISH,16.9,NO_TRADE,NO_BREAKOUT,88.6,88.82,88.46,88.82,0,0,0,0,100.0
2026-05-08T15:35:00+00:00,BEARISH,14.2,NO_TRADE,ADX_TOO_LOW(14.2),88.82,89.07,88.76,89.06,0,0,0,0,100.0
2026-05-08T15:40:00+00:00,BEARISH,11.9,NO_TRADE,ADX_TOO_LOW(11.9),89.06,89.3,89.02,89.18,0,0,0,0,100.0
2026-05-08T15:45:00+00:00,BEARISH,12.6,NO_TRADE,ADX_TOO_LOW(12.6),89.18,89.37,89.14,89.25,0,0,0,0,100.0
2026-05-08T15:50:00+00:00,BEARISH,13.1,NO_TRADE,ADX_TOO_LOW(13.1),89.25,89.51,89.25,89.5,0,0,0,0,100.0
2026-05-08T15:55:00+00:00,BEARISH,14.0,NO_TRADE,ADX_TOO_LOW(14.0),89.51,89.6,89.47,89.59,0,0,0,0,100.0
2026-05-08T16:00:00+00:00,BEARISH,15.3,NO_TRADE,NO_BREAKOUT,89.6,89.64,89.34,89.41,0,0,0,0,100.0
2026-05-08T16:05:00+00:00,BULLISH,16.2,NO_TRADE,NO_BREAKOUT,89.41,89.58,89.38,89.46,0,0,0,0,100.0
2026-05-08T16:10:00+00:00,BULLISH,17.0,NO_TRADE,NO_BREAKOUT,89.45,89.54,89.42,89.49,0,0,0,0,100.0
2026-05-08T16:15:00+00:00,BULLISH,18.4,NO_TRADE,NO_BREAKOUT,89.48,89.6,89.39,89.5,0,0,0,0,100.0
2026-05-08T16:20:00+00:00,BULLISH,19.9,NO_TRADE,INVALID_PLAN(rr=1.0),89.5,89.72,89.43,89.72,0,0,0,0,100.0
2026-05-08T16:25:00+00:00,BULLISH,21.8,NO_TRADE,NO_BREAKOUT,89.72,89.79,89.57,89.6,0,0,0,0,100.0
2026-05-08T16:30:00+00:00,BULLISH,23.2,NO_TRADE,NO_BREAKOUT,89.6,89.65,89.44,89.63,0,0,0,0,100.0
2026-05-08T16:35:00+00:00,BULLISH,22.8,NO_TRADE,NO_BREAKOUT,89.62,89.73,89.53,89.6,0,0,0,0,100.0
2026-05-08T16:40:00+00:00,BULLISH,22.7,NO_TRADE,NO_BREAKOUT,89.59,89.73,89.53,89.71,0,0,0,0,100.0
2026-05-08T16:45:00+00:00,BULLISH,24.0,NO_TRADE,NO_BREAKOUT,89.72,89.76,89.55,89.58,0,0,0,0,100.0
2026-05-08T16:50:00+00:00,RANGE,25.5,NO_TRADE,RANGE_STRUCTURE,89.57,89.74,89.51,89.57,0,0,0,0,100.0
2026-05-08T16:55:00+00:00,RANGE,25.9,NO_TRADE,RANGE_STRUCTURE,89.58,89.7,89.5,89.59,0,0,0,0,100.0
2026-05-08T17:00:00+00:00,RANGE,26.1,NO_TRADE,RANGE_STRUCTURE,89.6,89.79,89.56,89.75,0,0,0,0,100.0
2026-05-08T17:05:00+00:00,RANGE,26.2,NO_TRADE,RANGE_STRUCTURE,89.75,89.85,89.67,89.68,0,0,0,0,100.0
