ts,side,qty,usd_amount,pnl,symbol
2026-05-08T14:50:00Z,BUY,0.056029,5.0,0,SOLUSDT
2026-05-08T17:30:00Z,SELL,0.056029,5.0,0.1328,SOLUSDT
2026-05-08T18:10:00Z,BUY,0.054413,5.0,0,SOLUSDT
2026-05-08T21:15:00Z,SELL,0.054413,5.0,0.0071,SOLUSDT
2026-05-08T21:25:00Z,SHORT,0.054389,5.0,0,SOLUSDT
2026-05-08T21:40:00Z,COVER,0.054389,5.0,-0.0245,SOLUSDT
2026-05-08T22:00:00Z,BUY,0.054066,5.0,0,SOLUSDT
2026-05-08T23:10:00Z,SELL,0.054066,5.0,-0.0238,SOLUSDT
2026-05-08T23:20:00Z,SHORT,0.054366,5.0,0,SOLUSDT
2026-05-09T00:30:00Z,COVER,0.054366,5.0,-0.0288,SOLUSDT
2026-05-09T00:45:00Z,BUY,0.054042,5.0,0,SOLUSDT
2026-05-09T05:00:00Z,SELL,0.054042,5.0,0.0249,SOLUSDT
2026-05-09T05:05:00Z,SHORT,0.053827,5.0,0,SOLUSDT
2026-05-09T05:35:00Z,COVER,0.053827,5.0,-0.042,SOLUSDT
2026-05-09T05:40:00Z,BUY,0.053356,5.0,0,SOLUSDT
2026-05-09T06:50:00Z,SELL,0.053356,5.0,-0.0123,SOLUSDT
2026-05-09T07:00:00Z,BUY,0.053425,5.0,0,SOLUSDT
2026-05-09T07:05:00Z,SELL,0.053425,5.0,-0.0112,SOLUSDT
2026-05-09T07:20:00Z,BUY,0.053305,5.0,0,SOLUSDT
2026-05-09T09:10:00Z,SELL,0.053305,5.0,-0.0165,SOLUSDT
2026-05-09T09:15:00Z,SHORT,0.053665,5.0,0,SOLUSDT
2026-05-09T11:15:00Z,COVER,0.053665,5.0,-0.0215,SOLUSDT
