ts,symbol,action,reason,price,balance
2026-05-08T13:25:00Z,SOLUSDT,SHORT,BEAR_PULLBACK_CONT,88.29,100.0
2026-05-08T14:00:00Z,SOLUSDT,COVER,TP/SL_OR_REGIME,88.62,99.98
2026-05-08T14:35:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,89.21,99.98
2026-05-08T15:15:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,88.7,99.95
2026-05-08T16:10:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,89.49,99.95
2026-05-08T17:30:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,91.61,100.07
2026-05-08T18:00:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,91.77,100.07
2026-05-08T20:15:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,92.26,100.1
2026-05-08T20:35:00Z,SOLUSDT,SHORT,BEAR_PULLBACK_CONT,92.38,100.1
2026-05-08T21:40:00Z,SOLUSDT,COVER,TP/SL_OR_REGIME,92.38,100.1
2026-05-08T22:00:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,92.48,100.1
2026-05-08T22:50:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,92.28,100.09
2026-05-08T23:00:00Z,SOLUSDT,SHORT,BEAR_PULLBACK_CONT,92.24,100.09
2026-05-09T00:15:00Z,SOLUSDT,COVER,TP/SL_OR_REGIME,92.15,100.09
2026-05-09T00:20:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,92.28,100.09
2026-05-09T01:50:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,93.72,100.17
2026-05-09T02:30:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,93.56,100.17
2026-05-09T04:35:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,93.53,100.17
2026-05-09T04:40:00Z,SOLUSDT,SHORT,BEAR_PULLBACK_CONT,93.44,100.17
2026-05-09T05:30:00Z,SOLUSDT,COVER,TP/SL_OR_REGIME,93.58,100.16
2026-05-09T05:35:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,93.67,100.16
2026-05-09T06:30:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,93.52,100.15
2026-05-09T07:05:00Z,SOLUSDT,SHORT,BEAR_PULLBACK_CONT,93.38,100.15
2026-05-09T07:20:00Z,SOLUSDT,COVER,TP/SL_OR_REGIME,93.8,100.13
2026-05-09T07:55:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,93.76,100.13
2026-05-09T08:55:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,93.72,100.13
2026-05-09T09:00:00Z,SOLUSDT,SHORT,BEAR_PULLBACK_CONT,93.62,100.13
2026-05-09T10:30:00Z,SOLUSDT,COVER,TP/SL_OR_REGIME,93.51,100.13
2026-05-09T10:35:00Z,SOLUSDT,BUY,BULL_PULLBACK_RECOVERY,93.57,100.13
2026-05-09T12:15:00Z,SOLUSDT,SELL,TP/SL_OR_REGIME,93.52,100.13
