ts,symbol,side,qty,price,usd_amount,realized_pnl,reason
2026-05-08T06:35:00+00:00,SOLUSDT,BUY,0.39754657,88.04,35.0,0.0,SIGNAL_BUY
2026-05-08T06:40:00+00:00,SOLUSDT,BUY,0.25843462,88.03,22.75,0.0,SIGNAL_BUY
2026-05-08T06:50:00+00:00,SOLUSDT,BUY,0.16798251,88.03,14.79,0.0,SIGNAL_BUY
2026-05-08T06:55:00+00:00,SOLUSDT,BUY,0.10916383,88.05,9.61,0.0,SIGNAL_BUY
2026-05-08T07:30:00+00:00,SOLUSDT,BUY,0.07109375,87.88,6.25,0.0,SIGNAL_BUY
2026-05-08T07:35:00+00:00,SOLUSDT,BUY,0.04616891,87.96,4.06,0.0,SIGNAL_BUY
2026-05-08T08:10:00+00:00,SOLUSDT,SELL,1.05039019,88.22,92.67,0.2073,MAX_HOLD
2026-05-08T10:15:00+00:00,SOLUSDT,BUY,0.39652413,88.45,35.07,0.0,SIGNAL_BUY
2026-05-08T10:55:00+00:00,SOLUSDT,SELL,0.39652413,88.63,35.14,0.0714,SIGNAL_SELL
2026-05-08T13:15:00+00:00,SOLUSDT,BUY,0.39707591,88.39,35.1,0.0,SIGNAL_BUY
2026-05-08T13:20:00+00:00,SOLUSDT,BUY,0.25777854,88.5,22.81,0.0,SIGNAL_BUY
2026-05-08T13:30:00+00:00,SOLUSDT,BUY,0.16755605,88.5,14.83,0.0,SIGNAL_BUY
2026-05-08T13:45:00+00:00,SOLUSDT,BUY,0.10917048,88.29,9.64,0.0,SIGNAL_BUY
2026-05-08T13:50:00+00:00,SOLUSDT,BUY,0.07096885,88.28,6.27,0.0,SIGNAL_BUY
2026-05-08T13:55:00+00:00,SOLUSDT,BUY,0.04609842,88.34,4.07,0.0,SIGNAL_BUY
2026-05-08T14:25:00+00:00,SOLUSDT,SELL,1.04864826,89.05,93.38,0.6663,SIGNAL_SELL
2026-05-09T00:10:00+00:00,SOLUSDT,BUY,0.38369638,92.08,35.33,0.0,SIGNAL_BUY
2026-05-09T00:40:00+00:00,SOLUSDT,SELL,0.38369638,92.37,35.44,0.1113,SIGNAL_SELL
2026-05-09T04:30:00+00:00,SOLUSDT,BUY,0.37743792,93.71,35.37,0.0,SIGNAL_BUY
2026-05-09T04:45:00+00:00,SOLUSDT,BUY,0.2458068,93.53,22.99,0.0,SIGNAL_BUY
2026-05-09T05:10:00+00:00,SOLUSDT,BUY,0.16047789,93.12,14.94,0.0,SIGNAL_BUY
2026-05-09T05:15:00+00:00,SOLUSDT,BUY,0.10406477,93.34,9.71,0.0,SIGNAL_BUY
2026-05-09T05:20:00+00:00,SOLUSDT,BUY,0.0675408,93.48,6.31,0.0,SIGNAL_BUY
2026-05-09T06:05:00+00:00,SOLUSDT,SELL,0.95532818,93.94,89.74,0.4127,MAX_HOLD
