ts,side,qty,usd_amount,pnl,symbol
2026-05-08T13:35:00Z,SHORT,0.034037,3.0,0,SOLUSDT
2026-05-08T13:55:00Z,COVER,0.034037,3.0,-0.0068,SOLUSDT
2026-05-08T14:30:00Z,BUY,0.033674,3.0,0,SOLUSDT
2026-05-08T15:20:00Z,SELL,0.033674,3.0,-0.0205,SOLUSDT
2026-05-08T15:30:00Z,SHORT,0.033776,3.0,0,SOLUSDT
2026-05-08T15:35:00Z,COVER,0.033776,3.0,-0.0081,SOLUSDT
2026-05-08T16:10:00Z,BUY,0.033523,3.0,0,SOLUSDT
2026-05-08T17:10:00Z,SELL,0.033523,3.0,0.0101,SOLUSDT
2026-05-08T18:10:00Z,BUY,0.032648,3.0,0,SOLUSDT
2026-05-08T18:30:00Z,SELL,0.032648,3.0,0.0193,SOLUSDT
2026-05-08T18:40:00Z,BUY,0.032499,3.0,0,SOLUSDT
2026-05-08T19:15:00Z,SELL,0.032499,3.0,0.0123,SOLUSDT
2026-05-08T19:20:00Z,BUY,0.032434,3.0,0,SOLUSDT
2026-05-08T20:50:00Z,SELL,0.032434,3.0,-0.0126,SOLUSDT
2026-05-08T21:15:00Z,SHORT,0.032602,3.0,0,SOLUSDT
2026-05-08T21:35:00Z,COVER,0.032602,3.0,-0.0082,SOLUSDT
2026-05-09T07:20:00Z,BUY,0.031983,3.0,0,SOLUSDT
2026-05-09T09:00:00Z,SELL,0.031983,3.0,-0.0058,SOLUSDT
2026-05-09T09:20:00Z,SHORT,0.03211,3.0,0,SOLUSDT
2026-05-09T10:00:00Z,COVER,0.03211,3.0,0.008,SOLUSDT
2026-05-09T12:40:00Z,SHORT,0.032134,3.0,0,SOLUSDT
