ts,symbol,action,reason,price,balance
2026-05-08T12:20:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.57,100.0
2026-05-08T12:25:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.71,100.0
2026-05-08T12:30:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.66,100.0
2026-05-08T12:35:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.61,100.0
2026-05-08T12:40:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.73,100.0
2026-05-08T12:45:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.57,100.0
2026-05-08T12:50:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.55,100.0
2026-05-08T12:55:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.46,100.0
2026-05-08T13:00:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.51,100.0
2026-05-08T13:05:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.41,100.0
2026-05-08T13:10:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.28,100.0
2026-05-08T13:15:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.39,100.0
2026-05-08T13:20:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.5,100.0
2026-05-08T13:25:00Z,SOLUSDT,NO_TRADE,LOW_VOL,88.29,100.0
2026-05-08T13:30:00Z,SOLUSDT,NO_TRADE,LOW_ADX,88.5,100.0
2026-05-08T13:35:00Z,SOLUSDT,NO_TRADE,LOW_ADX,88.14,100.0
2026-05-08T13:40:00Z,SOLUSDT,NO_TRADE,LOW_ADX,88.11,100.0
2026-05-08T13:45:00Z,SOLUSDT,NO_TRADE,LOW_ADX,88.29,100.0
2026-05-08T13:50:00Z,SOLUSDT,NO_TRADE,LOW_ADX,88.28,100.0
2026-05-08T13:55:00Z,SOLUSDT,NO_TRADE,LOW_ADX,88.34,100.0
2026-05-08T14:00:00Z,SOLUSDT,NO_TRADE,LOW_ADX,88.62,100.0
2026-05-08T14:05:00Z,SOLUSDT,NO_TRADE,LOW_ADX,88.76,100.0
2026-05-08T14:10:00Z,SOLUSDT,NO_TRADE,LOW_ADX,88.82,100.0
2026-05-08T14:15:00Z,SOLUSDT,NO_TRADE,LOW_ADX,89.3,100.0
2026-05-08T14:20:00Z,SOLUSDT,NO_TRADE,LOW_ADX,89.36,100.0
2026-05-08T14:25:00Z,SOLUSDT,NO_TRADE,LOW_ADX,89.05,100.0
2026-05-08T14:30:00Z,SOLUSDT,NO_TRADE,LOW_ADX,89.09,100.0
2026-05-08T14:35:00Z,SOLUSDT,NO_TRADE,LOW_ADX,89.21,100.0
2026-05-08T14:55:00Z,SOLUSDT,SHORT,BEAR_RSI,89.15,100.0
