ts,balance,positions,total_equity
2026-05-08T12:20:00+00:00,100.0,0,100.0
2026-05-08T13:10:00+00:00,100.0,0,100.0
2026-05-08T14:00:00+00:00,100.0,0,100.0
2026-05-08T14:50:00+00:00,100.0,0,100.0
2026-05-08T15:40:00+00:00,100.0,0,100.0
2026-05-08T16:30:00+00:00,100.0,0,100.0
2026-05-08T17:20:00+00:00,100.0,0,100.0
2026-05-08T18:10:00+00:00,100.0,0,100.0
2026-05-08T19:00:00+00:00,100.0,0,100.0
2026-05-08T19:50:00+00:00,100.0,0,100.0
2026-05-08T20:40:00+00:00,100.0,0,100.0
2026-05-08T21:30:00+00:00,100.0,0,100.0
2026-05-08T22:20:00+00:00,100.0,0,100.0
2026-05-08T23:10:00+00:00,100.0,0,100.0
2026-05-09T00:00:00+00:00,100.0,0,100.0
2026-05-09T00:50:00+00:00,100.0,0,100.0
2026-05-09T01:40:00+00:00,100.0,0,100.0
2026-05-09T02:30:00+00:00,100.0,0,100.0
2026-05-09T03:20:00+00:00,100.0,0,100.0
2026-05-09T04:10:00+00:00,100.0,0,100.0
2026-05-09T05:00:00+00:00,100.0,0,100.0
2026-05-09T05:50:00+00:00,100.0,0,100.0
2026-05-09T06:40:00+00:00,100.0,0,100.0
2026-05-09T07:30:00+00:00,100.0,0,100.0
2026-05-09T08:20:00+00:00,100.0,0,100.0
2026-05-09T09:10:00+00:00,100.0,0,100.0
2026-05-09T10:00:00+00:00,100.0,0,100.0
